"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.58258074485803,0.00172797089753828,0.195908214361831,-7.96141504220159,-7.71446899322648,-7.58348574243509,-7.45030191165861,-7.19377835036448,12853.826831334,0.999839552273341,"alpha_st[1,1]"
-7.69709904096393,0.00152152296837423,0.170175183783421,-8.02365553797592,-7.81533609939057,-7.70067652512168,-7.58385203556687,-7.35062967014616,12509.3697984518,0.999629825902128,"alpha_st[1,2]"
-8.28036327811446,0.00172085702175953,0.18626867257121,-8.64836559044192,-8.40281717031808,-8.28193517429332,-8.1544444133704,-7.91746088752575,11716.2886501982,0.999829141128694,"alpha_st[1,3]"
-8.85897165002739,0.00202896298575271,0.209995822071374,-9.26742716746243,-9.00196218355784,-8.85955351370592,-8.71808317431852,-8.44633040976269,10712.0615698482,0.999836401827707,"alpha_st[1,4]"
-8.8099344046408,0.00179851209613243,0.192288636519924,-9.1805768560191,-8.93945563065063,-8.8101794991104,-8.68452710187888,-8.42580767849251,11430.9023240425,0.999784445955882,"alpha_st[1,5]"
-8.84918652816576,0.00188481074804097,0.205446506908407,-9.24861762693056,-8.98979632801311,-8.84818466705407,-8.71009918701601,-8.44923699157987,11881.2469815619,0.999733330109253,"alpha_st[1,6]"
-8.24480271802826,0.00157665979831566,0.175722158137567,-8.58123618758359,-8.36193840224685,-8.24490260018266,-8.12892540719832,-7.89523006326382,12421.5865177205,0.999595234605596,"alpha_st[1,7]"
-8.02485744516209,0.00158865700358754,0.180060088205649,-8.3709008775089,-8.14682463983538,-8.02643495484507,-7.90746576755935,-7.66872258695616,12846.1986561493,0.999709312205177,"alpha_st[1,8]"
-7.79650236626936,0.00147817549945684,0.164391689216649,-8.11776812541334,-7.90785504665842,-7.79914475122678,-7.68479431884873,-7.46545962266793,12368.2346743538,0.999887271209349,"alpha_st[1,9]"
-8.03263548445556,0.00152316793892146,0.174908079249032,-8.3679474023955,-8.15400975993255,-8.03181851465937,-7.91360213578755,-7.68781265523049,13186.3367305248,0.999651288200975,"alpha_st[1,10]"
-8.34570686523926,0.00160730369737363,0.176491674610205,-8.6878421742126,-8.46420126306778,-8.3461282402615,-8.22958669219989,-7.99349723999626,12057.3692247887,0.999679502316782,"alpha_st[1,11]"
-8.84048244873642,0.00192241955384496,0.201496286347428,-9.23375285327548,-8.97873977669722,-8.8412196262679,-8.70515369152891,-8.44420087798748,10985.9531395339,0.99958467493467,"alpha_st[1,12]"
-8.69956647803506,0.00179695930590234,0.187054811248089,-9.06220461018275,-8.82573501383365,-8.70004313981777,-8.57671069289725,-8.32463352008563,10835.8075242786,0.99981994446008,"alpha_st[1,13]"
-8.66675684388521,0.00183722260044639,0.193826165985136,-9.04728891617688,-8.79789580684995,-8.66818310974324,-8.53583667089911,-8.28181127344788,11130.1560135616,0.999617128676765,"alpha_st[1,14]"
-8.20837710327904,0.00159124264943832,0.186510293113189,-8.56974389271667,-8.33249969132475,-8.21073482391605,-8.08482424897575,-7.8380487702269,13738.2934362028,0.999694538200881,"alpha_st[1,15]"
-6.89357792199023,0.00155160464856681,0.182502827950633,-7.24106736568674,-7.01922896303349,-6.8967640147705,-6.77461700712684,-6.52759394471774,13834.9327579118,0.999619066469325,"alpha_st[2,1]"
-7.03353839227557,0.00151613160012733,0.1692383746,-7.35742122323381,-7.14880669995043,-7.03502118347617,-6.92120033478418,-6.69997426176951,12460.1678273134,0.999846648752184,"alpha_st[2,2]"
-6.97868534885683,0.00138627531549157,0.161710351517845,-7.28917140908534,-7.08968581420755,-6.98204913854934,-6.87205069431375,-6.65792113216907,13607.4473341972,0.999826652098999,"alpha_st[2,3]"
-6.95661762814287,0.0014804756414993,0.167970994340029,-7.27989967539772,-7.07214774947567,-6.95951285354674,-6.8458314393383,-6.6180775538623,12872.5934614561,0.999681752394376,"alpha_st[2,4]"
