"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7439911854791,0.00546047135975772,0.513630155058559,-12.7794453124362,-12.0876311198999,-11.7275716350244,-11.3896902925787,-10.7719524868387,8847.91127685607,1.0005280134612,"alpha_st[1,1]"
-11.9573808860887,0.00527545507959296,0.465751840663191,-12.8867016783061,-12.2646747981891,-11.9444033025876,-11.6410168326431,-11.0703705132901,7794.51865981903,1.00040666553745,"alpha_st[1,2]"
-12.0878963712719,0.00521077560674748,0.447665583957764,-12.9868979919536,-12.3870418934856,-12.0798743212939,-11.7794566529555,-11.2386507189232,7380.78700016515,0.999946790745999,"alpha_st[1,3]"
-12.1461334536473,0.0050416169927017,0.433906082659427,-13.0404149563796,-12.4268406941693,-12.1335490803241,-11.8502866315804,-11.3296782719272,7407.16087824353,0.999761805689618,"alpha_st[1,4]"
-12.1374955942943,0.00485543317732937,0.423765142985644,-12.9929109109613,-12.4203146092131,-12.1254319735978,-11.8526797484945,-11.3350005985783,7617.18491002388,0.999679490411343,"alpha_st[1,5]"
-11.9087675839,0.00438829928221368,0.400331568027365,-12.7232198898216,-12.1694089875331,-11.8946787919344,-11.6381254148795,-11.1558792772874,8322.3734041265,0.99967905087772,"alpha_st[1,6]"
-11.3967426050661,0.00367033231441695,0.352897794326589,-12.0804599164027,-11.6354788532145,-11.3939410040007,-11.1495907989375,-10.7219280131626,9244.57847013912,0.999636692239327,"alpha_st[1,7]"
-10.9979358655422,0.00318074436239496,0.321634057564423,-11.6441087166615,-11.2076609195708,-10.9970250726356,-10.77659141151,-10.3908499747933,10225.075583557,0.999793182846606,"alpha_st[1,8]"
-10.7553360478363,0.00299248776860096,0.299453559620852,-11.3511160870737,-10.9532351913332,-10.7490898840728,-10.551385446831,-10.1866467835736,10013.6911389688,0.999614716380081,"alpha_st[1,9]"
-10.7923886156375,0.00277380716460544,0.300601537714554,-11.402426754718,-10.9907506524382,-10.792660473571,-10.5839932249836,-10.2109148404215,11744.3737744694,0.999641147596933,"alpha_st[1,10]"
-10.5419052833211,0.00270767376964117,0.281114660898522,-11.0945665699469,-10.7296724233593,-10.5456668091657,-10.3543944897168,-9.98563927684484,10778.8968548912,0.999744020795527,"alpha_st[1,11]"
-11.3763166759644,0.00341003192383928,0.343112729161437,-12.0564490185095,-11.6034185161859,-11.3717790438082,-11.1435592892431,-10.7140607723363,10124.1080379063,0.999727808525666,"alpha_st[1,12]"
-11.8215144350897,0.00398428076436839,0.388389042754333,-12.6331831557708,-12.0749021746053,-11.8130207468934,-11.5607206165525,-11.0733020445516,9502.41664679433,0.999944381239537,"alpha_st[1,13]"
-12.0332483280093,0.0042320585018154,0.416528862554873,-12.8811354771931,-12.3049841788687,-12.0247743089272,-11.7469094931319,-11.2512601850485,9686.94593124431,0.999659589085286,"alpha_st[1,14]"
-12.0670783180845,0.00475940061967275,0.472786519703268,-13.0223891621542,-12.3789433399733,-12.0510944506097,-11.7406031745362,-11.1696546421029,9867.92056601817,0.99992114829978,"alpha_st[1,15]"
-10.3891331012401,0.0020865451762759,0.235812984002147,-10.8478527977318,-10.5501179323642,-10.3903549471118,-10.2335919674365,-9.92007668974263,12772.6156450444,0.999740063115072,"alpha_st[2,1]"
-11.3296094137395,0.00251123132727981,0.272937757538785,-11.8679833568601,-11.5081873575594,-11.3255929257944,-11.1506732903478,-10.8035229303438,11812.8257326254,0.999615658035754,"alpha_st[2,2]"
-11.4740313355009,0.00260006106897631,0.273596831753782,-12.0159450164478,-11.6584330569461,-11.473680947572,-11.2858214703258,-10.9423244585145,11072.7381746049,0.999651043457546,"alpha_st[2,3]"
-11.0340039715639,0.00206154008669231,0.234441881592816,-11.4938987966575,-11.1887795893729,-11.0359707246655,-10.8776703638676,-10.5710029055161,12932.6292781793,0.999679028753902,"alpha_st[2,4]"
-10.6786801754709,0.00193838509863955,0.221257097406152,-11.1047987258676,-10.8301126716634,-10.6797602588998,-10.5304627453684,-10.2427956111575,13029.0963734489,0.999822996114499,"alpha_st[2,5]"
