"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.57774977589566,0.00168091069198491,0.19976064234248,-7.96120299551486,-7.71566898624079,-7.58017139595966,-7.44665122099258,-7.17629379381892,14123.1175009337,0.999546286048408,"alpha_st[1,1]"
-7.69508519258285,0.00152529805556892,0.16855996073826,-8.02147461971968,-7.80606009682666,-7.69664998847371,-7.58442130330281,-7.35893268698532,12212.3547004236,0.999641558541947,"alpha_st[1,2]"
-8.28239843091644,0.00162151903743509,0.181761856163012,-8.63484102558518,-8.40686262245087,-8.28365014641292,-8.1598155306638,-7.92867267980414,12564.9682188268,0.99963841346898,"alpha_st[1,3]"
-8.85716392289561,0.00195462753026559,0.209093733347616,-9.26232788278697,-8.99895869025084,-8.86020759639865,-8.71249611550347,-8.44210975351039,11443.3718692355,0.999701833060463,"alpha_st[1,4]"
-8.80949091206151,0.00186275147526071,0.193942638192679,-9.18934453771505,-8.93987626827939,-8.80759514995061,-8.67856654691255,-8.43086010898371,10840.1867963633,1.00003112196305,"alpha_st[1,5]"
-8.84982568731983,0.00198374669806865,0.206558748722124,-9.24520409571889,-8.9898465470932,-8.85041535099193,-8.71174090599672,-8.44715287271049,10842.1335982343,0.999679847997955,"alpha_st[1,6]"
-8.24417450652813,0.00154302096229828,0.174840578020507,-8.58710649316833,-8.36209396146042,-8.24603854421072,-8.12499416746491,-7.89831326928903,12839.2842839108,1.00000251307934,"alpha_st[1,7]"
-8.02077693789308,0.00148871209267298,0.178876207505005,-8.36780751989025,-8.14050651487323,-8.02466246248834,-7.90163194879068,-7.66373526192386,14437.2249951238,1.00000074907191,"alpha_st[1,8]"
-7.79918960428014,0.00145757161979458,0.168163329853984,-8.12384571715721,-7.91353533214639,-7.79971922487365,-7.6898213185959,-7.46305382598337,13310.7580555771,0.999909394309037,"alpha_st[1,9]"
-8.03136454255701,0.00156615910456932,0.174143029145862,-8.36537427007152,-8.15008059281792,-8.03422742388399,-7.91524669566992,-7.69100404726974,12363.4714444119,0.999898866281434,"alpha_st[1,10]"
-8.34438776361028,0.00163406431340833,0.179962006029968,-8.69388519576818,-8.46968872303077,-8.34525711168868,-8.2192696878316,-7.99430323524415,12128.9543147569,0.999683719904615,"alpha_st[1,11]"
-8.84155985673478,0.00188839821572277,0.199053116509314,-9.23659965855887,-8.97789550792063,-8.84310835608868,-8.7073493783142,-8.45362269131459,11110.9399478971,0.999637979899744,"alpha_st[1,12]"
-8.69934552062094,0.00166672417278443,0.18023863527661,-9.04925118182343,-8.818855564035,-8.70088481133902,-8.58209285725936,-8.34192052249635,11694.1406372187,0.999752832377508,"alpha_st[1,13]"
-8.66409371479029,0.00171073791934733,0.191382720191499,-9.03287706464885,-8.79240913963215,-8.66636251737872,-8.53522809412724,-8.28411303342351,12515.219832051,0.999762501082606,"alpha_st[1,14]"
-8.2068667329732,0.00167620308032587,0.188824601084088,-8.56623621615677,-8.33467593167763,-8.20921900667228,-8.08304891512532,-7.81848837278341,12690.0660606516,0.999653917829209,"alpha_st[1,15]"
-6.89616715440475,0.00157989685023671,0.184130599613466,-7.24502810009793,-7.02557852751361,-6.9002733955719,-6.77489345353948,-6.52535372971895,13582.9614564782,0.999929524862991,"alpha_st[2,1]"
-7.03315357391735,0.00147890492639639,0.170165228306075,-7.35307687392509,-7.15337246863937,-7.03604652275436,-6.91985573732114,-6.69880907258225,13239.1813217182,0.999758306757444,"alpha_st[2,2]"
-6.97624697549157,0.00140679166155241,0.163451365205962,-7.28591496004056,-7.08664808081142,-6.97944043091444,-6.87050954125228,-6.64298973258682,13499.4953525483,0.999984839124086,"alpha_st[2,3]"
-6.95492809953693,0.00144705626193165,0.166543696444563,-7.27285839864417,-7.06816139766603,-6.96090053815236,-6.84448697322176,-6.62280754699616,13246.0248469809,0.999608640805755,"alpha_st[2,4]"
-6.94088890591655,0.00140008306090341,0.16158640527629,-7.2517325905016,-7.04997940175185,-6.94579604452468,-6.83324341882999,-6.61365704788691,13319.9328848843,0.999754052749384,"alpha_st[2,5]"
-7.07386759176979,0.00155810036263558,0.171274183914963,-7.40348750079711,-7.19273452338409,-7.0763536371824,-6.95941653620336,-6.72888726625589,12083.5058440241,1.00010662061155,"alpha_st[2,6]"
-6.85438904336201,0.00138862554568622,0.162353986041302,-7.16159624530382,-6.96324547998389,-6.85825792292172,-6.75175919988421,-6.51840720457376,13669.5938333841,1.00014553985227,"alpha_st[2,7]"
-6.77225122117159,0.0013826775046347,0.157709983592917,-7.07713225169169,-6.87813910171899,-6.77723830533385,-6.66552164839337,-6.45534340413629,13009.9784968618,0.99984193286358,"alpha_st[2,8]"
-6.79377837101335,0.00148216105825642,0.157774180526885,-7.09362944251763,-6.90246080861577,-6.79577245838844,-6.68833002054986,-6.47186652353336,11331.3347357367,0.999764570425157,"alpha_st[2,9]"
-7.00691839464866,0.00135939623856752,0.157086091148896,-7.30792101580499,-7.11241260764502,-7.01231725748293,-6.90308802691443,-6.69355167175855,13353.1380316597,0.9996902459577,"alpha_st[2,10]"
-7.54043105908577,0.00147205229483237,0.169225284154031,-7.86890806053396,-7.65437050321556,-7.54258694534506,-7.42835177426075,-7.19993695417424,13215.5130153851,0.999742734238051,"alpha_st[2,11]"
-7.76227314438347,0.00151401437015698,0.16741609901896,-8.0780916416397,-7.87707720921881,-7.76447192865398,-7.65301270737115,-7.42891244560456,12227.4090692784,0.99980270866996,"alpha_st[2,12]"
-7.79745772596469,0.00139875154871356,0.168300092838172,-8.12750651599665,-7.91031983451022,-7.79997693943443,-7.68623231887709,-7.46202028260706,14477.2992104497,0.999786359410328,"alpha_st[2,13]"
-7.59416531815596,0.00142594207608149,0.162781540608482,-7.9045745953061,-7.70727792284969,-7.59529986260864,-7.48574400800917,-7.27537970157089,13031.8640447481,0.999735915568572,"alpha_st[2,14]"
-7.42436081854191,0.00156868356739849,0.178561981818257,-7.76898178587959,-7.54769385118601,-7.42634333184254,-7.30838344757165,-7.05654641382937,12957.0847826786,0.999900521631603,"alpha_st[2,15]"
-8.50319941370986,0.00164433033180379,0.190176563679819,-8.86333296079151,-8.63404023030546,-8.50712877552615,-8.37520807705531,-8.1191794775598,13376.2955407383,0.999683779746958,"alpha_st[3,1]"
-8.75256621062329,0.00146682865118001,0.168512905078416,-9.07253282016297,-8.86847468679727,-8.75396614806971,-8.64104173117483,-8.41698791227473,13197.9829415036,0.999970169721407,"alpha_st[3,2]"
-9.20929116021869,0.00174491154280803,0.192626680699473,-9.58269625904801,-9.33855772143291,-9.2136925715664,-9.08105193606925,-8.82780500744053,12186.6980552677,0.999871621654594,"alpha_st[3,3]"
-8.81522929383703,0.00156150459665421,0.166689556738246,-9.13717078409865,-8.92680546902192,-8.81593090027514,-8.70713143424503,-8.47277230896743,11395.4177126664,1.00054293665651,"alpha_st[3,4]"
-8.59084578811903,0.00156954653378702,0.176905237188879,-8.93294249046155,-8.70942847238391,-8.59445125011437,-8.47417457684969,-8.22770975725063,12703.7806975823,1.00015375223286,"alpha_st[3,5]"
-8.1052681839896,0.00132006967477407,0.158231879588794,-8.41121827908941,-8.211099582916,-8.10591744005914,-7.99979599967103,-7.79439195871714,14367.9320425084,0.999815592283381,"alpha_st[3,6]"
-7.80268683196848,0.00138536378658637,0.159567707886739,-8.11367764337485,-7.90969449936011,-7.8069006063269,-7.69812778874965,-7.48333272313376,13266.68297831,0.999816883585003,"alpha_st[3,7]"
-7.71735290074818,0.0014015870921821,0.159671310675037,-8.02921988043212,-7.82535302171937,-7.71902665729422,-7.61389941777678,-7.39458350125994,12978.174284395,0.999734291295552,"alpha_st[3,8]"
-7.74558463430651,0.00145547643624556,0.162213220969329,-8.05572629515081,-7.85693048163044,-7.74649917590143,-7.63914920658999,-7.41381068588776,12421.1594932119,0.999837024850907,"alpha_st[3,9]"
-7.73674315564982,0.00131160489478211,0.157415396538309,-8.04529614212111,-7.84431069636129,-7.73762658970847,-7.63138782929618,-7.42609227655699,14404.1739674415,0.999889182033461,"alpha_st[3,10]"
-7.9350664878447,0.00146301419513687,0.165998130150232,-8.25771733924082,-8.04834098766315,-7.9377628152371,-7.82530640993697,-7.60295789182991,12873.8757170989,1.00004817003859,"alpha_st[3,11]"
-7.94253618664757,0.00151056181363024,0.168225524843651,-8.26838577655236,-8.05628995223777,-7.94537663390886,-7.83071148859839,-7.6033500265901,12402.4298823451,0.999558414412797,"alpha_st[3,12]"
-7.8641671812283,0.00144299225360287,0.167328974854399,-8.1892336801186,-7.97803748875771,-7.86576639460227,-7.75315616817497,-7.52911391319623,13446.6562067441,0.999783879060899,"alpha_st[3,13]"
-7.69065721513369,0.00147887424846212,0.172554713367131,-8.01884326765237,-7.81327126951199,-7.69347705220036,-7.5741024214704,-7.34936722438528,13614.1697052132,1.0000602098159,"alpha_st[3,14]"
-7.24044368248153,0.00149640953119029,0.16965856266145,-7.56069983889866,-7.35679684336511,-7.2459096231142,-7.13045876680885,-6.89450805187805,12854.36522889,0.999861316964545,"alpha_st[3,15]"
-10.0654886095912,0.00310988096059435,0.312382360349964,-10.6821696621626,-10.2703704380954,-10.0665657824614,-9.85522210720521,-9.46087344462462,10089.8677336044,0.999605482259222,"alpha_st[4,1]"
-10.0223162800108,0.00288341481084769,0.264089445047729,-10.5400788557573,-10.2040858906285,-10.0226194341213,-9.84317221131025,-9.50503461083189,8388.56816831561,0.999548213916546,"alpha_st[4,2]"
-10.1224339107405,0.00276064752545987,0.253501572969497,-10.6373013963272,-10.2872671046582,-10.1222431233514,-9.95062651183485,-9.6345276802494,8432.1708297189,0.99980505492465,"alpha_st[4,3]"
-9.98825537898173,0.00258842186534364,0.242316547220486,-10.4758400047188,-10.1495134760357,-9.98536715806209,-9.82258883478574,-9.52543433258765,8763.8719731959,0.999570259106125,"alpha_st[4,4]"
-10.1493923470726,0.00262103883625767,0.248098493673275,-10.6382187172082,-10.3168674463952,-10.148294501312,-9.97979907748337,-9.66307979850652,8959.86245913828,0.999927625981453,"alpha_st[4,5]"
-10.039935124016,0.00246376553189005,0.241402561533847,-10.5120956438957,-10.2012907487841,-10.0375939509042,-9.87447235092904,-9.56822273419638,9600.30427503791,1.0001706318882,"alpha_st[4,6]"
-10.1362774182706,0.00244293721862463,0.238955600502993,-10.6052456328592,-10.2974808589631,-10.1303905779423,-9.97342077363623,-9.67737122900295,9567.74991784177,1.00016503158035,"alpha_st[4,7]"
-10.2901982258871,0.00265303809195361,0.250449068020574,-10.7961153304847,-10.4605299609348,-10.2867372967674,-10.1201843761771,-9.80990447687771,8911.52169462785,1.00054505236213,"alpha_st[4,8]"
-10.3304864065236,0.00287060845965794,0.252992525757161,-10.8180149822542,-10.4981936743066,-10.3295162666656,-10.1570538245364,-9.8364544299325,7767.25316900612,1.00099658286548,"alpha_st[4,9]"
-10.0270377915162,0.00265021776524061,0.242295349759026,-10.4969503259418,-10.1841088368127,-10.0276732963909,-9.86468749547524,-9.55517793946022,8358.47477914381,0.999988096035898,"alpha_st[4,10]"
-9.43848049009845,0.00227162019598652,0.231865042224018,-9.89128950232219,-9.5981850951278,-9.43788468687972,-9.28283815659936,-8.98732362663741,10418.3539903826,0.99990459414814,"alpha_st[4,11]"
-7.89120682059547,0.00131012605188013,0.154098975023689,-8.18969593673028,-7.99602213024463,-7.89195852127085,-7.78858479608028,-7.58560650829916,13834.8143197459,0.999650097947003,"alpha_st[4,12]"
-7.65598056523866,0.00142345425384282,0.159285469716204,-7.95969316484762,-7.76325372856694,-7.65834683271665,-7.55021198321624,-7.33376568946717,12521.7575875909,0.999891357952858,"alpha_st[4,13]"
-8.02086404817411,0.00149214232815814,0.169783076281453,-8.35035089527436,-8.13742475598889,-8.02118422722686,-7.90695189986294,-7.68195972914404,12946.9745953776,0.999718162696071,"alpha_st[4,14]"
-8.68756781407743,0.00203611125920026,0.228490807865556,-9.13068518797843,-8.84189757667608,-8.68967310968212,-8.5348171011526,-8.2248809346886,12593.1522929763,0.999628049993899,"alpha_st[4,15]"
-6.55705266421698,0.0015717276050703,0.182009294763663,-6.89890572522952,-6.68141475537237,-6.56306001613849,-6.43833514555134,-6.18458372578447,13410.1171499993,0.999644948297142,"alpha_st[5,1]"
-6.48510011223216,0.00150790832960555,0.164479632218353,-6.80008143565512,-6.59935784680745,-6.48676857195733,-6.37251118030465,-6.16080401506545,11898.0111606159,1.0001209825183,"alpha_st[5,2]"
-6.38698365924291,0.00147216139227219,0.163426073071544,-6.70148205367377,-6.50055686033779,-6.39028551990798,-6.27758785447291,-6.06146190907959,12323.4368054258,0.99988229295151,"alpha_st[5,3]"
