"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.57950095979794,0.00166043392862238,0.194649206620633,-7.94899871556121,-7.71133636432079,-7.58393965007999,-7.44852360970499,-7.18837162149765,13742.3839384696,1.00012566653014,"alpha_st[1,1]"
-7.69591522746518,0.00144799534299758,0.170774949982943,-8.02124121023596,-7.81337797608025,-7.69796336870867,-7.58180460980783,-7.35955612451358,13909.5795760441,0.99977653057504,"alpha_st[1,2]"
-8.28266601484022,0.00166973235481541,0.187135982211268,-8.63387854571078,-8.41241050327953,-8.28696593567986,-8.15644284155058,-7.90536818795214,12560.9034273534,1.00020157810367,"alpha_st[1,3]"
-8.85670698433228,0.00202618362377605,0.206711293309013,-9.24726707830689,-8.9993229370094,-8.85971255124268,-8.71651512984823,-8.45100209352963,10408.0844292118,1.00009157834909,"alpha_st[1,4]"
-8.8110345341977,0.00174009828973437,0.192245427158581,-9.18749749614119,-8.93821648075991,-8.81371737360146,-8.68290376168767,-8.42672293458942,12205.7501617359,0.999771214616607,"alpha_st[1,5]"
-8.84816868632021,0.00193495156531992,0.20644050868674,-9.2592521241106,-8.98442420111742,-8.85023698416698,-8.70915566017195,-8.43770347625167,11382.8141257521,0.999664677419149,"alpha_st[1,6]"
-8.24546857239866,0.00151143025401605,0.17282616981626,-8.58151203765487,-8.36507141452159,-8.24494702768178,-8.12940801148845,-7.90476551676623,13075.0328317651,0.999754789800493,"alpha_st[1,7]"
-8.02364418469666,0.0015184751405538,0.176822029060814,-8.3633748379992,-8.14525370325346,-8.02668344221476,-7.90649634069345,-7.67271440843507,13559.9274851008,0.999645956030104,"alpha_st[1,8]"
-7.80068542220758,0.00154102204271405,0.168445731900613,-8.1234435751263,-7.91362551375153,-7.80122194222553,-7.68918292730554,-7.46421986742098,11948.1955182032,0.999627185853147,"alpha_st[1,9]"
-8.03401143670007,0.0014744848418933,0.171006250295693,-8.36334128659601,-8.14938562855469,-8.03545576432118,-7.92115587050914,-7.69625208455303,13450.652225236,0.999635578984022,"alpha_st[1,10]"
-8.34906492708699,0.00155476267863881,0.178093873604199,-8.69163081602312,-8.47163465929913,-8.34833711794309,-8.22814255842434,-8.00501576902959,13121.0849135376,0.999635305863962,"alpha_st[1,11]"
-8.84316610825057,0.00185435533626204,0.198317663743722,-9.23553218641461,-8.97733882675953,-8.8437602308301,-8.71122381581308,-8.45791640983923,11437.6519961011,0.999841705441773,"alpha_st[1,12]"
-8.70112583582011,0.00165306842786551,0.182757168780776,-9.0508142447057,-8.82583073968411,-8.70260241384333,-8.57774094866549,-8.34368218572141,12222.7007864926,0.999876889778529,"alpha_st[1,13]"
-8.6650400465043,0.00183667552393921,0.194278195953401,-9.03824895593138,-8.79578887102143,-8.66821575095312,-8.53607905703772,-8.27462701319116,11188.7932015983,0.999827699148605,"alpha_st[1,14]"
-8.20526630542853,0.00163064635904374,0.18621360043269,-8.56152857111927,-8.33187317746625,-8.20730010248096,-8.07813384328865,-7.8404108078183,13040.7696694063,0.999768623213625,"alpha_st[1,15]"
-6.89285313763572,0.00155143030502459,0.173661131163492,-7.23256012895484,-7.00765263787205,-6.89389728230985,-6.78201476056583,-6.53924571192315,12529.7010744705,1.00012658116497,"alpha_st[2,1]"
-7.03445173700662,0.00147867423826537,0.168246480469938,-7.35371180457594,-7.14987142335805,-7.03599865855676,-6.92272789157086,-6.69592258826212,12946.338644167,0.999852888956591,"alpha_st[2,2]"
-6.97997646330515,0.00136139988773606,0.159768038543847,-7.27980483790012,-7.09005168517031,-6.98367376700367,-6.87392100786413,-6.65657909466972,13772.3606222427,0.999811076984641,"alpha_st[2,3]"
-6.95798431802177,0.00141032706475352,0.164538634068893,-7.27436515110756,-7.07038893514975,-6.95912792330351,-6.84831443010151,-6.63809058742216,13611.1899487349,0.999654594808728,"alpha_st[2,4]"
-6.94113449349206,0.00138293885470347,0.163892264348029,-7.2550899081271,-7.0522356778262,-6.94313679815159,-6.83238623849717,-6.61692091128391,14044.6510660219,0.999671511224811,"alpha_st[2,5]"
-7.07174285858402,0.00142420530497194,0.169218996214476,-7.38974102019622,-7.18907213731436,-7.07283741808007,-6.95880959422304,-6.73227182750144,14117.3450875581,1.00017961678121,"alpha_st[2,6]"
-6.85340960002294,0.00135540928793784,0.159055215568839,-7.15977992834575,-6.96170237550768,-6.85496361494149,-6.74874297773173,-6.530979417932,13770.6650399652,0.999776748418539,"alpha_st[2,7]"
-6.77348314751105,0.0013460185557121,0.160614899167499,-7.07837538066122,-6.88354914341718,-6.7777136833391,-6.66770804083839,-6.45076080294512,14238.6745934451,0.999775293831185,"alpha_st[2,8]"
-6.79423677543245,0.00143439013840928,0.16138589299521,-7.09809918113758,-6.90892617224244,-6.79589548727429,-6.68418565644132,-6.47617516513346,12658.9171592838,0.999675489917675,"alpha_st[2,9]"
-7.00724797124956,0.00141630644511496,0.156744436879499,-7.30695259579909,-7.11334528511476,-7.01085605573307,-6.9037038428256,-6.68883605552827,12248.1306112607,1.00005536279073,"alpha_st[2,10]"
-7.54327870230477,0.00146626975714858,0.167047882861027,-7.8641872516272,-7.65681647228851,-7.54675693937313,-7.4304778332058,-7.207163265061,12979.3874727587,0.9996849499692,"alpha_st[2,11]"
-7.76293354411913,0.00141247321042194,0.166733180943155,-8.08692220522859,-7.87534933864562,-7.76799287187166,-7.65094235551572,-7.42949798094893,13934.251099041,0.999701861538409,"alpha_st[2,12]"
-7.79515767809611,0.00143014538687525,0.168808740492631,-8.12639949132672,-7.90792462280267,-7.79603373893238,-7.68434909804891,-7.45639233068368,13932.5137380563,0.999603951426893,"alpha_st[2,13]"
-7.59612136011158,0.00143991010613899,0.164456552529128,-7.90984822068736,-7.70945827204971,-7.59795514373803,-7.48713158433774,-7.27039676560387,13044.6251657559,0.999715630767539,"alpha_st[2,14]"
-7.42488395206843,0.00159131885227082,0.17952912007046,-7.77122290524803,-7.5468737474565,-7.42750626693464,-7.30771146839965,-7.05602362500855,12727.8599753332,0.999609756392432,"alpha_st[2,15]"
-8.50242593967304,0.0016423238447842,0.187583614467429,-8.85843742393533,-8.63060160776526,-8.50435520164223,-8.37529416279199,-8.13102543489958,13045.8446559148,1.00002455090662,"alpha_st[3,1]"
-8.7544081340156,0.00150572152290644,0.170309074293956,-9.08262423582631,-8.86850972575595,-8.7562254410319,-8.64076079443092,-8.42256975822404,12793.4082881692,0.999985334379513,"alpha_st[3,2]"
-9.21089077412966,0.0017703190235181,0.191835575741991,-9.57420798638749,-9.34147036324884,-9.21202477486655,-9.08178331296286,-8.83698653166239,11742.3555731487,1.00009752411043,"alpha_st[3,3]"
-8.81435072555844,0.0015396602542068,0.165216262562936,-9.12948806841161,-8.92549752808602,-8.81709777264556,-8.70267278188028,-8.48158179467178,11514.7838388437,0.999652956917004,"alpha_st[3,4]"
-8.59169680170044,0.00153460249015402,0.168821420685492,-8.9125173026215,-8.70974090900914,-8.59309699963481,-8.47750879563749,-8.25490543477624,12102.1715321091,0.999648822085089,"alpha_st[3,5]"
-8.10400868463111,0.00144214896128184,0.162038172093231,-8.4156162596863,-8.2127248269355,-8.10764756644206,-7.99853619519963,-7.78014222738241,12624.5070089811,0.999660927442817,"alpha_st[3,6]"
-7.80389201892029,0.00147689939428164,0.162151160003209,-8.11306807044253,-7.9155825574813,-7.80582934014626,-7.69364391112026,-7.48114025668649,12054.1972839859,0.999666686084554,"alpha_st[3,7]"
-7.71987633317342,0.00147704041889542,0.159394713861529,-8.02343511426885,-7.82869574170198,-7.72296736905884,-7.61186891041858,-7.39667713937857,11645.6321825521,0.999717636972044,"alpha_st[3,8]"
-7.74519947201375,0.00143920926491745,0.162919645316075,-8.05305614376814,-7.85266598611598,-7.75008565939926,-7.63770870395572,-7.4163432872464,12814.4219323593,0.999643768333725,"alpha_st[3,9]"
-7.73861555326727,0.00136203790975423,0.160527186726093,-8.04473934116042,-7.84783808579841,-7.73994680119374,-7.63381004994945,-7.42215102604123,13890.5294087109,0.999622817828053,"alpha_st[3,10]"
-7.93708872955466,0.00138446269935166,0.171284109669126,-8.26901189833022,-8.05186269041076,-7.93808609760791,-7.82384817100747,-7.59255199379705,15306.3496698564,1.00002538483084,"alpha_st[3,11]"
-7.94453844974763,0.00149126376033368,0.170227764581447,-8.27358499412651,-8.05960322118878,-7.94631367113543,-7.83210141605186,-7.60685714993497,13030.2234705026,0.999755630377618,"alpha_st[3,12]"
-7.86884663256911,0.00144041902534103,0.162064110633064,-8.17740533417616,-7.98090674185749,-7.87020700360402,-7.76066625098432,-7.54840808352376,12658.9009740309,0.999669534475575,"alpha_st[3,13]"
-7.69643074697616,0.00147845125213445,0.165841406483457,-8.01159398980967,-7.80935210214013,-7.70112226906814,-7.58500275937946,-7.35931263006332,12582.6444763538,0.999960995896536,"alpha_st[3,14]"
-7.24587420223989,0.00144439279339047,0.169217644432126,-7.56809043856926,-7.36167667365483,-7.25119393854642,-7.13109212596821,-6.90575023872434,13725.2626714558,0.999849671742943,"alpha_st[3,15]"
-10.0652800892387,0.00305961718558588,0.304098189080449,-10.6740116778598,-10.2674319681796,-10.062031000683,-9.85782210433045,-9.48327673248578,9878.55641799266,0.999736322414667,"alpha_st[4,1]"
-10.0224767088454,0.00280578948472602,0.256466724411718,-10.5239028850633,-10.1967892412252,-10.0194992014081,-9.85154658937696,-9.52428468382721,8355.10444964741,0.99983211714571,"alpha_st[4,2]"
-10.1275657054043,0.00270435444802609,0.249379531662747,-10.615615701532,-10.2971073660484,-10.12376976154,-9.95782342827782,-9.65210123949589,8503.43479377898,0.999770761060475,"alpha_st[4,3]"
-9.98911137954918,0.00256588641102995,0.238080669234894,-10.4588433703267,-10.149576570656,-9.98819669713476,-9.82728723215478,-9.53114072826019,8609.41050421781,0.999925980784044,"alpha_st[4,4]"
-10.1486251186263,0.00266007451746227,0.246382678649319,-10.6437032301646,-10.3151464377573,-10.1421395104647,-9.97947986988043,-9.67794127447235,8578.92239862296,0.99977771761333,"alpha_st[4,5]"
-10.0414991926407,0.0024717894072917,0.236999628198567,-10.5054617521715,-10.2022129536606,-10.0390520083558,-9.88071681400714,-9.58124199157258,9193.32039410204,0.999745462205584,"alpha_st[4,6]"
-10.1400012212741,0.0025246322094826,0.242302377245344,-10.6164457937613,-10.303932379651,-10.1365282809417,-9.97628462080434,-9.66998273153201,9211.2615212901,0.999642850080908,"alpha_st[4,7]"
-10.295656032949,0.00294878908649691,0.248114327939223,-10.7901277384961,-10.4587003223145,-10.2949801685794,-10.1265294582028,-9.81519873145651,7079.72302760188,1.00002675023107,"alpha_st[4,8]"
-10.3358075803041,0.00291679842464004,0.255751043475134,-10.8502443393422,-10.5055044586878,-10.3313548440868,-10.1615561788517,-9.84536190891124,7688.15260391905,1.00002606408566,"alpha_st[4,9]"
-10.0258561772918,0.0028445864566677,0.24277901420209,-10.4981736167302,-10.1892916859683,-10.0242114305715,-9.86013288897287,-9.5542291993662,7284.23605648197,0.999695446470842,"alpha_st[4,10]"
-9.44220568154658,0.00243626639662456,0.228964775854628,-9.87934399270227,-9.60033128458432,-9.44151141618839,-9.28877893125785,-8.99708110020775,8832.584488373,0.99979972442444,"alpha_st[4,11]"
-7.89169824342014,0.00151971397073611,0.154140709470046,-8.19094237545288,-7.99436605208223,-7.89257194826321,-7.78867765058738,-7.5797564004934,10287.5271715304,0.999978057440906,"alpha_st[4,12]"
-7.65607688639957,0.0015149678600936,0.157698818302152,-7.95710134270724,-7.76382395294687,-7.65824127301433,-7.5481994004316,-7.34174209238585,10835.5270131508,0.999804461816716,"alpha_st[4,13]"
-8.01825367372969,0.00151808289042871,0.168049582594,-8.34507440793897,-8.13495488288848,-8.01948779330178,-7.90618288983562,-7.68790023103547,12254.1701160319,0.999701001081203,"alpha_st[4,14]"
-8.68454126241971,0.00222221456399849,0.230021952874403,-9.13900957890997,-8.84396544164492,-8.6871861101504,-8.5298063418598,-8.22684766048175,10714.3688554444,0.999703716652305,"alpha_st[4,15]"
-6.55656947875782,0.00166841191548294,0.190316811976634,-6.92350513822359,-6.68810228665558,-6.56161488839898,-6.43227415322126,-6.16531587786626,13012.1104989465,0.999705956137721,"alpha_st[5,1]"
-6.48685124384583,0.00144710206013477,0.161778272160974,-6.79423260977075,-6.59794681367957,-6.49106290500717,-6.38075868750693,-6.15928821600129,12498.0443609964,0.999906654165054,"alpha_st[5,2]"
-6.3911085197632,0.0014126766686808,0.15883738175737,-6.69309034151067,-6.50044638725552,-6.39297924408729,-6.28660509025675,-6.07065949125297,12642.1195862913,0.999935336248935,"alpha_st[5,3]"
-6.33602072557976,0.00137738589908332,0.15689521311191,-6.63095141273709,-6.44542933329243,-6.33919556403086,-6.23181426072479,-6.02354201945409,12975.0225598632,1.00004798331875,"alpha_st[5,4]"
-6.30918515243924,0.00144963595140875,0.159076531681387,-6.61687861653666,-6.41862440631292,-6.31043293465013,-6.20466660452838,-5.98741015603451,12041.8808286002,0.999779808361534,"alpha_st[5,5]"
-6.43686447563699,0.00151477232862402,0.161179864807556,-6.74547097147897,-6.54788246406679,-6.438576171084,-6.32846368449773,-6.11755637388062,11322.0964026744,0.999655143654507,"alpha_st[5,6]"
-6.52983227927201,0.00148288364191952,0.16625395783268,-6.84907119184443,-6.6437538143322,-6.53182890896685,-6.42099270294896,-6.19798378809892,12569.8425284704,0.999871896517573,"alpha_st[5,7]"
-6.50369134156246,0.00145982012536202,0.161177670548828,-6.8060456289266,-6.61488704620082,-6.50725345298567,-6.3970657852065,-6.18174313655678,12190.2063235437,0.999828150684858,"alpha_st[5,8]"
-6.47512846922975,0.0013586306892962,0.161403017249101,-6.77590040575007,-6.58722174503128,-6.47690417553866,-6.36535431252766,-6.15983327506604,14113.0362635203,0.999808604518864,"alpha_st[5,9]"
-6.52620096225806,0.00139219006332469,0.157910726818999,-6.82783331347507,-6.63576525027052,-6.52658063088468,-6.42060915830714,-6.21078085611977,12865.4862680019,0.99982989457725,"alpha_st[5,10]"
-6.84452020259576,0.00152423318967288,0.169232141228986,-7.16677526108427,-6.9602022451478,-6.84829011797047,-6.73235674860696,-6.51117554378474,12327.1553996455,0.99991090148489,"alpha_st[5,11]"
-6.76007171437764,0.00138872675881672,0.160915527969069,-7.06500200801752,-6.87147563263766,-6.76309535488772,-6.6515069655833,-6.44258978421342,13426.484084268,0.999942886153106,"alpha_st[5,12]"
-6.76033258769191,0.00139648445181151,0.161690232402399,-7.06471450740151,-6.8702746339472,-6.76694234164578,-6.65294102926967,-6.43323217824547,13405.8810347968,0.999767875798039,"alpha_st[5,13]"
-6.68992329383261,0.00137927143644966,0.159993249973297,-6.99514946564109,-6.79965102164858,-6.69391448847659,-6.58119835830004,-6.36875822243421,13455.6237866691,1.00003597276329,"alpha_st[5,14]"
-6.61487860108964,0.0015094374869242,0.176015117297251,-6.95331487872214,-6.73669901059609,-6.61853601074327,-6.49773350781655,-6.26115472727192,13597.8321428193,0.999755725674323,"alpha_st[5,15]"
-7.05933465706421,0.00146126594993866,0.176575734848334,-7.39556751600389,-7.17969778981841,-7.06569539983695,-6.94058469331114,-6.7088364165392,14601.7031630979,0.999719217937503,"alpha_st[6,1]"
-7.1393629458164,0.00144272721463273,0.162586775389803,-7.44729980185088,-7.24818838971511,-7.1423915706995,-7.03245787785246,-6.81090820904995,12699.9493002767,0.999872316661367,"alpha_st[6,2]"
-7.21532451020203,0.00144848149256749,0.164837304443741,-7.52880684235428,-7.32779985551803,-7.21970966959853,-7.10584082378694,-6.88086790474067,12950.4573769513,0.999888401990977,"alpha_st[6,3]"
-7.23347457121078,0.00140604112470257,0.162585323361243,-7.54404674113395,-7.34301594105507,-7.23766276987971,-7.12433745633212,-6.90694870025569,13371.084441019,0.999597547650236,"alpha_st[6,4]"
-7.20333692376814,0.00132647813116822,0.156630644476627,-7.49694766788977,-7.31083238865532,-7.20689524231345,-7.10114415713594,-6.89159133049913,13942.9054049745,1.00036455529098,"alpha_st[6,5]"
-7.38095370881832,0.00134750951390656,0.164044674982225,-7.6962232843091,-7.49150633506074,-7.38504185587481,-7.27326726765865,-7.04433680310972,14820.4228366908,0.999814741695318,"alpha_st[6,6]"
-7.35798582030949,0.00138558036805123,0.156635331905961,-7.65904582450972,-7.46384410104417,-7.36154169108828,-7.25453708712173,-7.04246433655822,12779.5635137988,1.00007149020882,"alpha_st[6,7]"
-7.6821826453273,0.00147343519979253,0.171368728804421,-8.01010904172198,-7.79999913092491,-7.68539918475349,-7.56622409543525,-7.34151940608657,13526.9868814291,0.999834932109017,"alpha_st[6,8]"
-7.69339339355844,0.0014264777539733,0.158438131108139,-8.00131033695703,-7.79992666836505,-7.697855220836,-7.58889085559447,-7.37307690436622,12336.4276344306,0.999893204133602,"alpha_st[6,9]"
-7.92609905236516,0.00140854559759121,0.163142837952805,-8.23289309603694,-8.03879947802001,-7.93019675838056,-7.81658321201743,-7.59971548266531,13415.1089607347,0.999855255956717,"alpha_st[6,10]"
-8.27242505462145,0.00144302987074415,0.169525230473152,-8.5913444351965,-8.38978535480645,-8.27460102308679,-8.16037774214327,-7.93030776158687,13801.2379844028,0.999731061123664,"alpha_st[6,11]"
-8.39138461136182,0.00141218918262277,0.167524292771541,-8.70930994138182,-8.50532394660541,-8.39467417184936,-8.27828919151645,-8.05128826346084,14072.4536010218,0.999870699722999,"alpha_st[6,12]"
-8.38084675919358,0.00154289944902017,0.168349309750563,-8.70083358794796,-8.49416533740031,-8.38432648669155,-8.26891604879376,-8.04179251808494,11905.494322346,0.999591086083769,"alpha_st[6,13]"
-8.18178219469452,0.00145982121222714,0.163726296288233,-8.49359860606057,-8.29337480253972,-8.18582735431521,-8.07206646521172,-7.85219889112638,12578.7514359584,0.999822778735449,"alpha_st[6,14]"
-8.03287795206542,0.00147750085230476,0.176790838126728,-8.36941725633096,-8.15313820640773,-8.03699160279148,-7.91697266118182,-7.67287817116353,14317.3957409935,0.999917799826493,"alpha_st[6,15]"
-6.2730507818988,0.00150479017710937,0.178177499680823,-6.61316395414658,-6.3945158601223,-6.27592536395162,-6.15651221317264,-5.91635599194901,14020.1876189911,0.999896607352955,"alpha_st[7,1]"
-6.40931258148887,0.00143033665044455,0.161111681130187,-6.71309540687761,-6.51852065389722,-6.41131770259462,-6.30170040027454,-6.08295365157592,12687.5429288204,0.999743748040595,"alpha_st[7,2]"
-6.69753514777179,0.00153323746341926,0.163546964068425,-7.00779713565287,-6.81034501039582,-6.70045834603433,-6.59077604087636,-6.37381338099946,11378.0052208967,1.00020893296232,"alpha_st[7,3]"
-7.02067905966938,0.00169755581315457,0.172839855252028,-7.3549061404354,-7.13843212368336,-7.02316923053378,-6.90553750216206,-6.67403635735115,10366.6792998217,0.999686260972644,"alpha_st[7,4]"
-6.94993518313524,0.00143811253460619,0.164048917285579,-7.2657446389572,-7.05830635375967,-6.95198821589676,-6.84323515296173,-6.62101154727214,13012.5075227483,0.999719190444076,"alpha_st[7,5]"
