"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.5814539106138,0.00167016860667298,0.194439056051464,-7.95087752747927,-7.71546894268368,-7.5849254307542,-7.45262333819074,-7.19411200031826,13553.34132419,0.999587975346947,"alpha_st[1,1]"
-7.694200126265,0.00154559484128179,0.167728442111069,-8.01031746118496,-7.80732765951015,-7.69821953683383,-7.58116691868441,-7.36191103427421,11776.6591991972,0.999952389781328,"alpha_st[1,2]"
-8.27967675741789,0.00165378790762377,0.18363874048606,-8.63417481709039,-8.40691745249342,-8.28159457844966,-8.15159949994695,-7.91962602093491,12330.1677944164,0.999769103959743,"alpha_st[1,3]"
-8.85446409773517,0.00192395237312218,0.206850222466381,-9.26087274374442,-8.98943895034971,-8.85394565773919,-8.71632677456791,-8.45321317135529,11559.0821596584,1.00024950027387,"alpha_st[1,4]"
-8.80708733182724,0.00178468256493371,0.192510411361841,-9.18010577629943,-8.93847359901622,-8.80700870147175,-8.67311132409779,-8.43375188310844,11635.538358031,0.999806043117481,"alpha_st[1,5]"
-8.84829566695769,0.00188793895359295,0.203942482011412,-9.24390352784111,-8.98570677432913,-8.84728760016473,-8.712109799447,-8.44309145258913,11669.1576250428,0.999740012135891,"alpha_st[1,6]"
-8.24171999673734,0.00151092586340567,0.174474598836723,-8.57298983105496,-8.35987838621933,-8.24406844712269,-8.12626436798495,-7.89133511036205,13334.5420795751,0.999577772202738,"alpha_st[1,7]"
-8.02440930961643,0.00148053232128073,0.175047191117335,-8.35124082289209,-8.14654408624583,-8.02657782378932,-7.90541096865551,-7.67762798692329,13978.9485633562,0.999712629812864,"alpha_st[1,8]"
-7.80161938011161,0.00156410489126797,0.167964859472126,-8.12309881779973,-7.9139532790321,-7.8048307683958,-7.69259544069222,-7.46841951706408,11532.0127413418,0.99980338657111,"alpha_st[1,9]"
-8.03469476212823,0.00153304758535585,0.175121454719218,-8.36595498227246,-8.15311332823046,-8.03767427021461,-7.92131552020943,-7.682840176949,13048.7058619014,0.999799971047065,"alpha_st[1,10]"
-8.34752875720257,0.00155134542109932,0.179308091237651,-8.69193572172744,-8.46904242108069,-8.34951062731775,-8.22708534668506,-7.99128794143299,13359.2709599725,0.999798524022811,"alpha_st[1,11]"
-8.84108286809063,0.00185774632892132,0.199184859859635,-9.2319365676823,-8.97535984825826,-8.84260321045346,-8.70842633944687,-8.45067611087217,11495.8165643212,0.999610022773088,"alpha_st[1,12]"
-8.70063355853886,0.00173474549895599,0.186203178997207,-9.06771442469414,-8.82538443014331,-8.70063867101496,-8.57451700472994,-8.33418600108593,11521.3307391157,0.999600419984813,"alpha_st[1,13]"
-8.66551800045677,0.00174084160576359,0.193274777811443,-9.02917355394415,-8.79872462606894,-8.66730662392512,-8.53406362385759,-8.27740802480987,12326.2749242205,0.999802398118584,"alpha_st[1,14]"
-8.20912343193486,0.0016343534455194,0.185163591887308,-8.56491383007091,-8.33610700845609,-8.21108904169094,-8.08574843750225,-7.84374099876264,12835.6902380817,0.99986785574059,"alpha_st[1,15]"
-6.89515739098754,0.00143109258703098,0.179584858057246,-7.24001973658347,-7.01618949065711,-6.89955884566064,-6.77867914611482,-6.52962118440999,15747.2226227128,0.999601166658584,"alpha_st[2,1]"
-7.03119244873386,0.00143183078533975,0.17125740237965,-7.35830545487935,-7.14804242297058,-7.03401678662821,-6.91704394947578,-6.68690124349288,14305.9042232108,0.999832845225737,"alpha_st[2,2]"
-6.97811742514148,0.00148746161753114,0.163981196306453,-7.29048043491873,-7.08998516390179,-6.98214147409012,-6.86948297003515,-6.64316534303376,12153.3656621193,0.999733532583791,"alpha_st[2,3]"
-6.95740912495874,0.00141029047717606,0.161639967546686,-7.26839952640999,-7.06715499488501,-6.96161667482296,-6.85212583142585,-6.62649101168886,13136.5209377138,0.999656328127924,"alpha_st[2,4]"
-6.94265303119509,0.00137360587795029,0.162093700651099,-7.25700524505896,-7.05212633084425,-6.94517273102189,-6.83436954099387,-6.61333250049514,13925.4100940935,0.999718099369586,"alpha_st[2,5]"
-7.07147659513193,0.00149252225608518,0.174205260062982,-7.40530690443855,-7.18861465726275,-7.07385823952139,-6.95714019043267,-6.72481809358067,13623.2553381646,0.999839025984812,"alpha_st[2,6]"
-6.85255418104698,0.00139039881122579,0.160514337178826,-7.15858522069438,-6.96237344356935,-6.85372957054172,-6.74387790178834,-6.53233536184424,13327.5059149498,1.00017386710707,"alpha_st[2,7]"
-6.77232359207042,0.00138455283829162,0.160618546364157,-7.08583652784176,-6.88013118335541,-6.7728949318354,-6.66782368516597,-6.44784925986936,13457.7455821765,1.00017086152945,"alpha_st[2,8]"
-6.79589585502888,0.00140362893822261,0.158607065726688,-7.1019257386421,-6.90478262802993,-6.79836882605093,-6.69133968242295,-6.47712352368023,12768.5162798025,0.99987734425484,"alpha_st[2,9]"
-7.00771632380059,0.0013498813816938,0.158786971344609,-7.31358683208565,-7.11524811575317,-7.00968883323161,-6.90205990015508,-6.68656725401519,13836.890868154,0.999794645543794,"alpha_st[2,10]"
-7.54172926005789,0.00151395634030911,0.169132219669131,-7.86724411291373,-7.65829182404215,-7.54313827770796,-7.42994350043272,-7.20522960315073,12480.3278711908,0.999986698890863,"alpha_st[2,11]"
-7.76122535416998,0.00142587123030734,0.168073488172019,-8.08596761878699,-7.87600047788835,-7.76460137848013,-7.64630152235407,-7.42768609473678,13894.3365484432,0.99972020199226,"alpha_st[2,12]"
-7.7975534240365,0.00144459540791585,0.169736851823312,-8.12250909533168,-7.9136728601615,-7.80245328829701,-7.6829745721314,-7.45633654838401,13805.7443110683,0.999554094072421,"alpha_st[2,13]"
-7.5982764479953,0.00142136280190982,0.162547707915032,-7.90065332014891,-7.7102391805759,-7.60175319564961,-7.49195214218693,-7.26738816403258,13078.3154650125,0.999608387616477,"alpha_st[2,14]"
-7.42560357836614,0.00145979206946364,0.173839230189124,-7.75298550381117,-7.54365810327691,-7.43186551669733,-7.31187716589256,-7.07004827062841,14181.219538698,0.999750612236752,"alpha_st[2,15]"
-8.50282162226561,0.00156441484598173,0.184321938990573,-8.85684366888451,-8.62769899326926,-8.50785802233777,-8.3773490718498,-8.13427628719519,13881.9412919455,0.999985547278996,"alpha_st[3,1]"
-8.75487790629702,0.0014666926509527,0.169314051501365,-9.08206678405475,-8.86929907562979,-8.75603543680152,-8.63998523661664,-8.41882839825796,13326.2443510091,0.999691012818059,"alpha_st[3,2]"
-9.2092780562535,0.00175180447904369,0.19590007014485,-9.58436918953217,-9.34299068644503,-9.21132108322366,-9.07660680965606,-8.82356279753086,12505.4095152407,0.999634210068694,"alpha_st[3,3]"
-8.81780566931595,0.00148448821138556,0.170577645495908,-9.14252035326033,-8.93417496869602,-8.81919836469163,-8.70567120366374,-8.47575373863221,13203.5503143285,0.999729983795079,"alpha_st[3,4]"
-8.59385760666871,0.00158248797747205,0.175613789223612,-8.92866062562927,-8.7115635852058,-8.59831196788853,-8.47929627013772,-8.23886937201585,12315.0559431759,1.00006240642827,"alpha_st[3,5]"
-8.1055961358523,0.0014090628320029,0.162808191507827,-8.42077297286637,-8.21480217450735,-8.10691073819806,-7.99887074417262,-7.78105568373513,13350.3233815702,1.00007765908331,"alpha_st[3,6]"
-7.80509102273665,0.00130729101788984,0.160055163558341,-8.11106274384926,-7.91521961136696,-7.80853912545469,-7.69675476153293,-7.48427666244138,14989.7650089024,0.99962148104545,"alpha_st[3,7]"
-7.71831362496118,0.00129797504566624,0.163027453846984,-8.02749132383003,-7.82990722310001,-7.72009365850446,-7.61219697951961,-7.38911073552908,15775.706059059,0.999648385506793,"alpha_st[3,8]"
-7.74687939788041,0.00143951001687751,0.163583292833496,-8.05847952220752,-7.85877191262925,-7.75057383012109,-7.63897485713129,-7.41662924898732,12913.6350733114,0.999940886981651,"alpha_st[3,9]"
-7.73762423169866,0.00130171885917456,0.160232537116788,-8.03634150515942,-7.84854498987252,-7.74106574531794,-7.62848012349747,-7.41641303556477,15151.8975395842,0.999725182396314,"alpha_st[3,10]"
-7.93414761901685,0.00130747738792123,0.166071568678839,-8.24054779538067,-8.04866537916847,-7.93820716486721,-7.82312101338268,-7.60093238789463,16133.2625846455,0.9996491724773,"alpha_st[3,11]"
-7.94357903020045,0.00136567067395954,0.166600637303733,-8.261502986964,-8.05599731540867,-7.94568427447684,-7.83391769132303,-7.61218895256993,14882.001693407,0.999623981487409,"alpha_st[3,12]"
-7.86808415585604,0.00141635172009486,0.164338598622692,-8.18144670824465,-7.97816930161191,-7.8739478287423,-7.75843346904671,-7.53313540381657,13462.8476090372,0.999614009045508,"alpha_st[3,13]"
-7.69359817356939,0.00141222660913842,0.171525611689891,-8.02267263349232,-7.81096392606604,-7.69248689387483,-7.57947408322356,-7.35574982276089,14751.9412164912,0.999816426834443,"alpha_st[3,14]"
-7.24324996344775,0.00141247662534697,0.171429170706529,-7.56680761988869,-7.36195508336135,-7.24689544912412,-7.13060444089963,-6.89913418631628,14730.1411818289,0.999592329047898,"alpha_st[3,15]"
-10.0636443965047,0.00316031145611026,0.313042578556866,-10.7004087005404,-10.2717174674406,-10.0554785464566,-9.85122379659052,-9.45966069756363,9811.76309261285,0.999769706592882,"alpha_st[4,1]"
-10.0210427626197,0.00288241799695538,0.263319024932213,-10.5400416230023,-10.199897286376,-10.0153894785707,-9.84242990009296,-9.51198468056828,8345.46528671541,0.999590378713142,"alpha_st[4,2]"
-10.124320203268,0.00281761427911375,0.254791727709273,-10.6416817849738,-10.2926635672633,-10.1213543365862,-9.95023369215202,-9.6308109059841,8177.25551390489,0.9998859231269,"alpha_st[4,3]"
-9.98622642310375,0.00265643429460657,0.242279310245802,-10.4546382067472,-10.1523510374117,-9.98606257142447,-9.81798354313185,-9.52260693849041,8318.29849253556,0.999718305547832,"alpha_st[4,4]"
-10.1466742199433,0.00268907716802734,0.25705641050359,-10.6547021945269,-10.3223327850856,-10.1426738809452,-9.9714503322305,-9.64895718604403,9137.98302761606,0.999795367965781,"alpha_st[4,5]"
-10.0406189980816,0.00260301044888289,0.238382385721279,-10.5105241246113,-10.1997449851347,-10.039269822461,-9.87634994205026,-9.57284746638962,8386.8041389694,1.00002812072939,"alpha_st[4,6]"
-10.1382058246344,0.00261263743672524,0.241094530571701,-10.6067087618962,-10.3002461626053,-10.1378471241801,-9.97354024775838,-9.66301062628885,8515.62297686757,1.00007183439107,"alpha_st[4,7]"
-10.2932178989016,0.00272671305741697,0.248278536059605,-10.7782017557374,-10.4598703295557,-10.2902049263982,-10.1276785518629,-9.81346236650922,8290.85798662106,0.99993226092553,"alpha_st[4,8]"
-10.3299364645791,0.00286556980734715,0.257945843084539,-10.8449817695163,-10.5012283962855,-10.3251151157553,-10.1547403662878,-9.82860363591149,8102.79929286655,0.999678430087363,"alpha_st[4,9]"
-10.025809307577,0.00277719993108673,0.245326649400924,-10.5086202674906,-10.1913738233353,-10.0213551572453,-9.85715665308902,-9.55069882645486,7803.24357067762,0.999937932787923,"alpha_st[4,10]"
