"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.57941213818144,0.00184021779779838,0.195015553431308,-7.94782314746607,-7.71470506356273,-7.58312485827251,-7.44908601496467,-7.18717987369048,11230.5246715301,0.999741786640588,"alpha_st[1,1]"
-7.69462720625376,0.00163969000225042,0.167110042603116,-8.00532199076208,-7.81007845667285,-7.69765114741961,-7.58101952003192,-7.35665549818788,10386.7960135992,0.999919379199943,"alpha_st[1,2]"
-8.28075101463155,0.00180958567172894,0.183317988405854,-8.64088360717474,-8.40548703557973,-8.28036536417017,-8.15534576577915,-7.9185687458051,10262.4692360252,0.999571723923764,"alpha_st[1,3]"
-8.85729103695044,0.00212511754634006,0.212924894332309,-9.27279338812221,-9.00083960215188,-8.85483901016383,-8.71402881445727,-8.44158563644928,10038.9193799824,0.999729163589106,"alpha_st[1,4]"
-8.81221710465122,0.00193296254643479,0.194194564557677,-9.18893635310499,-8.94403970767921,-8.81394791016226,-8.68201155425703,-8.42691289947185,10093.1624136763,0.99964083994395,"alpha_st[1,5]"
-8.85164354075018,0.00205640788603092,0.20904770781927,-9.25104842404248,-8.99549318222736,-8.85477703424758,-8.71244498715507,-8.43874143431685,10334.0914047624,0.999611402991192,"alpha_st[1,6]"
-8.24257550720657,0.00163344478293499,0.176677262533958,-8.58194130150973,-8.36136483461618,-8.24677345736032,-8.12432322695218,-7.89088803362614,11699.0987538388,0.999733597178534,"alpha_st[1,7]"
-8.02094958628841,0.00169714690396288,0.173421141841786,-8.3536106285913,-8.13846699685728,-8.02454043190536,-7.90368292931508,-7.67254679321593,10441.5557197371,0.999855348495452,"alpha_st[1,8]"
-7.79755877083531,0.00158708154171263,0.165759467114197,-8.11217848595463,-7.9085384194976,-7.79947821681434,-7.68702495010675,-7.47184591820034,10908.3283578679,0.999722442609825,"alpha_st[1,9]"
-8.03334828603172,0.00166030291628029,0.175630080581098,-8.37030912811832,-8.15264652998822,-8.03615136042623,-7.91611553143761,-7.68311625537456,11189.8210103154,1.00002738858623,"alpha_st[1,10]"
-8.34780126805598,0.00171537655920677,0.180370549489854,-8.69687943414017,-8.47172154893107,-8.35029486551644,-8.22621753161646,-7.98815123603652,11056.3636503363,1.00020787351039,"alpha_st[1,11]"
-8.84401191872634,0.00208582802272576,0.200863848613771,-9.22955059264751,-8.97805891986811,-8.84632778955388,-8.70915549381614,-8.44689922378453,9273.5616537501,1.00026855828483,"alpha_st[1,12]"
-8.69976678113069,0.00178835583338336,0.181036962258694,-9.05639281584442,-8.82253459593284,-8.69980818431215,-8.57732053461948,-8.3402443986435,10247.7054991095,1.0000844901578,"alpha_st[1,13]"
-8.66337900592636,0.00192830629873954,0.193719862809307,-9.03818592602127,-8.79507478885084,-8.6652088125208,-8.53498961562714,-8.28061476374979,10092.442084752,1.00021360330195,"alpha_st[1,14]"
-8.20721518341297,0.0016938570373255,0.189309048757209,-8.57534864152703,-8.33518865477324,-8.21152131682209,-8.08096212469644,-7.82537244965284,12490.7708451955,0.999840713192954,"alpha_st[1,15]"
-6.89241626317312,0.00167598675749968,0.182896905879018,-7.2430042297164,-7.01487688700077,-6.89598224470945,-6.77289613532923,-6.5242994369581,11908.8973349788,0.999607129002772,"alpha_st[2,1]"
