"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7423808254366,0.00508061145282555,0.503235884492315,-12.7859111000104,-12.0680848178732,-11.715561702526,-11.3985627742426,-10.8111223578673,9810.95397218271,1.0001839867158,"alpha_st[1,1]"
-11.9532954453191,0.00506810874721485,0.459250023408725,-12.913182798741,-12.2547319806733,-11.9312003139696,-11.639847962697,-11.1007775599503,8211.19799200406,0.999876169062705,"alpha_st[1,2]"
-12.077874453661,0.00489167855172501,0.442230885004983,-12.979549630838,-12.3678995798411,-12.0645295571714,-11.7746751103777,-11.2491245601271,8173.01543884927,1.00005471162891,"alpha_st[1,3]"
-12.1443528806383,0.00475030778066226,0.431577675723947,-13.0231609819535,-12.4295919051838,-12.1278474962156,-11.8441682597331,-11.3385859309038,8254.18968827349,1.00009135395887,"alpha_st[1,4]"
-12.1475396570521,0.00472221125523353,0.423193490338798,-13.0233710039466,-12.4182884105727,-12.1313231080659,-11.8582864247604,-11.3538222517567,8031.32375483285,0.99987789109977,"alpha_st[1,5]"
-11.9169738531899,0.00440318045860409,0.400536511966556,-12.7219420230208,-12.1804134674839,-11.9049114273998,-11.642039460516,-11.1542812620626,8274.68087053575,1.00005295073709,"alpha_st[1,6]"
-11.3999356192803,0.00346815767438714,0.34887865664644,-12.1026059776492,-11.6308735589405,-11.3966008493775,-11.1574136170879,-10.7370826801481,10119.3154706792,0.99997216149646,"alpha_st[1,7]"
-11.0026816695089,0.0030468029611735,0.315664105846654,-11.6397546819391,-11.2130695913184,-10.994814902642,-10.7882733701191,-10.4060763387337,10734.0018094562,0.999606808085074,"alpha_st[1,8]"
-10.7528148734169,0.00277696796146831,0.300758344220562,-11.3536702087052,-10.9581328300806,-10.7532075129197,-10.5496607455674,-10.1687759320855,11729.881696429,0.999638266096301,"alpha_st[1,9]"
-10.7922173262964,0.00275226997265027,0.298748333501162,-11.3853908120652,-10.9911976522833,-10.7879087904756,-10.5904133881342,-10.2263724050465,11782.2685893982,1.00014215528291,"alpha_st[1,10]"
-10.5463522054317,0.00257460751542674,0.278795051235247,-11.1043695565493,-10.7297585166575,-10.5400128004618,-10.3554082306233,-10.0222357399243,11725.9504795553,0.999585362453626,"alpha_st[1,11]"
-11.382466386817,0.00330565099628068,0.34176921827418,-12.0499217552344,-11.6114098044169,-11.377328724153,-11.1450050898534,-10.7291675686534,10689.3646019042,0.999831228305558,"alpha_st[1,12]"
-11.8229589620849,0.0040346651436969,0.380306376656805,-12.5838264555085,-12.0741720851369,-11.8153712586919,-11.5601827622302,-11.0984687391531,8884.89340890736,0.99979948394224,"alpha_st[1,13]"
-12.03669313996,0.00457397809936585,0.416825282940586,-12.8774349014747,-12.3172049560449,-12.0314456457191,-11.7468679825712,-11.2456673396516,8304.62345490927,0.999999810096137,"alpha_st[1,14]"
-12.0780921207864,0.00482743982464907,0.484084124401521,-13.0723777160684,-12.3902351825503,-12.0652508294777,-11.7384571373664,-11.1715512568651,10055.5989163753,0.999650838263291,"alpha_st[1,15]"
-10.3902883057465,0.00202375322822643,0.238890866463028,-10.8614013929351,-10.5491304821929,-10.3917626085695,-10.2325359163329,-9.91900734876862,13934.2623238005,1.00006530638386,"alpha_st[2,1]"
-11.3228976649143,0.00239983987275915,0.279470844114738,-11.8719717422143,-11.5101806159705,-11.3181270078667,-11.133211988567,-10.7753127864131,13561.5235929477,1.00039182184626,"alpha_st[2,2]"
-11.4744927150327,0.00243726617120495,0.271792213909895,-12.01776509477,-11.6559539117315,-11.4711569345819,-11.2929372840254,-10.948731086782,12435.6388587393,1.00012963230399,"alpha_st[2,3]"
-11.031826516843,0.00201588324861601,0.235206348404118,-11.4992253596034,-11.1852028887822,-11.0337507552318,-10.8782884885413,-10.5577645977324,13613.4226161224,0.999606879421371,"alpha_st[2,4]"
-10.6735376695982,0.00193737611532427,0.223695744948112,-11.1099804837249,-10.8221388018102,-10.6765382283676,-10.5243382220081,-10.2327760923775,13331.76236284,0.999763255267241,"alpha_st[2,5]"
-10.5487494726918,0.00181016145893743,0.221517637310014,-10.9810843920582,-10.6994738420292,-10.5479994430424,-10.3990542616262,-10.1143587637499,14975.5228274968,0.999743989628883,"alpha_st[2,6]"
-10.3343568329707,0.00177776749420484,0.213059746979584,-10.7464553905618,-10.4801247114675,-10.338003470696,-10.1956060539155,-9.90174524109391,14363.2556933966,0.999709602314098,"alpha_st[2,7]"
-10.4351994046607,0.00182405677045724,0.222112111975684,-10.8760315552659,-10.5854545309478,-10.4363426547724,-10.2857357317518,-9.99238480183348,14827.4948435675,0.999562987733973,"alpha_st[2,8]"
-10.3528791051426,0.00171214458302327,0.201453463569532,-10.7411679700775,-10.4870577273084,-10.3530840830226,-10.2172276471105,-9.94873067151252,13844.2235949979,0.99984217247041,"alpha_st[2,9]"
-10.7474890727475,0.0019006748111954,0.214709757648541,-11.1547768583782,-10.8943376174271,-10.750608108629,-10.6034727499433,-10.3195709708405,12761.0945059857,0.999708189711512,"alpha_st[2,10]"
-11.9431510424757,0.00268847689205527,0.29344293882479,-12.5326595818579,-12.1355339841719,-11.9382496205332,-11.7457814090958,-11.3746050550428,11913.3722173374,0.999716326928086,"alpha_st[2,11]"
-12.5000454378758,0.00302505411280187,0.318057903467816,-13.1266488432935,-12.7112554691068,-12.4919130247199,-12.2810450926296,-11.8973399622937,11054.6777753939,0.999628205628455,"alpha_st[2,12]"
-13.0087975119164,0.00362774422988153,0.346843378308354,-13.7219604603651,-13.2371738910474,-12.9973189068751,-12.7715113982878,-12.3493656353821,9140.99550349085,0.999904242583498,"alpha_st[2,13]"
-13.0022007790468,0.00342320823746226,0.347882488810937,-13.7110861274817,-13.2321617231116,-12.9956521360487,-12.7652705427545,-12.3382975955335,10327.57838194,0.999868724401331,"alpha_st[2,14]"
-13.0086769278117,0.00398343674869237,0.408112405060185,-13.8358845197088,-13.2753026714374,-12.9995550676578,-12.7226821029604,-12.2429560551937,10496.4814012549,1.00007367191934,"alpha_st[2,15]"
