"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7443028209565,0.00498531893753003,0.504873765214377,-12.7840168683725,-12.0722238262002,-11.7273304240119,-11.4002959072841,-10.8079680682019,10256.0401577213,0.999891397046213,"alpha_st[1,1]"
-11.9551702061866,0.00470917152897768,0.449791298776257,-12.8939700728615,-12.2492038230835,-11.9450190878476,-11.6440704779823,-11.1204857855367,9122.90348174847,0.999921198656835,"alpha_st[1,2]"
-12.0782211822789,0.00483749228897793,0.435411233412747,-12.9505710171567,-12.3601114782599,-12.0645763311619,-11.7760274945312,-11.2775438081849,8101.37410342865,0.999728247192907,"alpha_st[1,3]"
-12.145761749012,0.00477433850247919,0.433215806556018,-13.0150673684192,-12.437682704208,-12.1273005431521,-11.8464934694529,-11.3258882658449,8233.45608597242,1.00014447081079,"alpha_st[1,4]"
-12.1410017692274,0.00459868709971828,0.42488941414603,-13.0019938643213,-12.4212387546489,-12.1333213302252,-11.8456238538305,-11.3360209863623,8536.58365894241,1.00042911345227,"alpha_st[1,5]"
-11.9094500965511,0.00436065481003876,0.398157758876792,-12.7042131062811,-12.1762100677654,-11.9031335759608,-11.6300103225182,-11.1668330883641,8336.94522202514,1.00015696278337,"alpha_st[1,6]"
-11.3947430278191,0.00358704722496388,0.352197063321436,-12.1115822354241,-11.6288684238624,-11.3891503529442,-11.1524563934286,-10.7252832771168,9640.44923590105,0.999961067116563,"alpha_st[1,7]"
-10.9998333757279,0.00302018037682354,0.315008490074397,-11.6216603226704,-11.2108883259177,-10.99988167172,-10.7855359030208,-10.3865219738049,10878.743951406,0.999795827125679,"alpha_st[1,8]"
-10.7546729059091,0.00277361726909526,0.302018722842561,-11.3561568593038,-10.9499786194912,-10.7495871814896,-10.5553139413915,-10.1667134659791,11856.9958567789,0.999760490224899,"alpha_st[1,9]"
-10.7912351736453,0.00259080517388017,0.302823375222659,-11.3951902214832,-10.9916108406202,-10.7903859102426,-10.5833656865967,-10.2036927054095,13661.8426829039,0.999679098932833,"alpha_st[1,10]"
-10.5402464951336,0.00256183205727169,0.274490114148631,-11.0919182793208,-10.7234491166722,-10.5357497976677,-10.3508516875154,-10.0179003434444,11480.2700454722,0.99954566008696,"alpha_st[1,11]"
-11.3782795086421,0.00316228658375629,0.342650113915328,-12.0665728789015,-11.6020017292692,-11.377106019446,-11.1439451989018,-10.7195996671151,11740.8437938735,0.999692490830982,"alpha_st[1,12]"
-11.8231934391301,0.00387532544360061,0.383631147311897,-12.6000748116348,-12.076369345302,-11.8145915507198,-11.562797038268,-11.1001449495376,9799.66798224318,0.999682559642958,"alpha_st[1,13]"
