"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7447890098539,0.00499629053814118,0.510641472721467,-12.8108360402635,-12.078450223494,-11.7326031580678,-11.3886964593668,-10.7924360857228,10445.6819406771,1.00011353641829,"alpha_st[1,1]"
-11.9564585069206,0.0048251056772374,0.458725212335474,-12.8795206868008,-12.2572539032542,-11.9422266314494,-11.6447640847196,-11.0864951517146,9038.40009034852,0.999846920070308,"alpha_st[1,2]"
-12.0787835881662,0.00475549454377988,0.442415050666879,-12.9852809214612,-12.3668107656299,-12.0589147058313,-11.778678808113,-11.248856166509,8655.02667005671,0.999824171877682,"alpha_st[1,3]"
-12.1368657407785,0.0046679658768212,0.432780859863034,-13.01023244261,-12.4243403572709,-12.1236594299826,-11.8365964029541,-11.326937246217,8595.69002214517,1.00012211425394,"alpha_st[1,4]"
-12.1425082076874,0.00477210786024907,0.422526905271206,-12.9672528198177,-12.4244910960977,-12.1289176696777,-11.8529170658839,-11.3391289039319,7839.49766806204,1.0008833588766,"alpha_st[1,5]"
-11.914439907457,0.00401120274622012,0.394997843344598,-12.6969224634108,-12.1717399430313,-11.9099744230772,-11.6468366929113,-11.1560528696445,9697.06308475917,1.0001351611526,"alpha_st[1,6]"
-11.3955301732742,0.00339949221972592,0.353630486740334,-12.104205683264,-11.6292764997196,-11.3823230940165,-11.1572174669558,-10.7269649136567,10821.0971100129,1.00001799939052,"alpha_st[1,7]"
-10.9983317356061,0.00295139595925138,0.320784961332796,-11.6357838144476,-11.2072462366113,-10.9999615879366,-10.7823376793905,-10.3751629371899,11813.3492406809,0.999666720473269,"alpha_st[1,8]"
-10.7596099407378,0.00275344121970117,0.302064529600407,-11.3687593865846,-10.958141085108,-10.7554245330181,-10.556164165837,-10.1751599212778,12035.048419473,0.999728582190661,"alpha_st[1,9]"
-10.7903835746971,0.00266732554585071,0.300831509163871,-11.3962242380066,-10.9921132790165,-10.7913561623206,-10.5879370981601,-10.1989668139425,12720.2192225845,0.999967943696444,"alpha_st[1,10]"
-10.5469309045094,0.00283838955924396,0.276984429330525,-11.0904526914601,-10.7342564879902,-10.5478432487685,-10.3623641341186,-10.0063330668453,9522.84489017716,1.00007918980879,"alpha_st[1,11]"
-11.3830127085496,0.00337830386995702,0.340374276138358,-12.0686265048907,-11.6130416701084,-11.3823475775224,-11.1479264498889,-10.7340414129259,10151.1685794232,0.999791028212513,"alpha_st[1,12]"
-11.8273171707057,0.0040733468896949,0.385992765465532,-12.6250198163911,-12.0872686989079,-11.8139277197275,-11.5562522104017,-11.1106732468474,8979.56992538167,1.0000421336748,"alpha_st[1,13]"
-12.0380591735459,0.0043806908057328,0.421952779426686,-12.8985103405514,-12.3196214633212,-12.0276301135635,-11.7494805441687,-11.2477825937936,9277.74648898065,0.999955881790421,"alpha_st[1,14]"
-12.0713288940369,0.00484760435308592,0.479970102831822,-13.0572153976754,-12.3796643108163,-12.0568947442276,-11.7465130692821,-11.168452810476,9803.33940464638,0.999916193841036,"alpha_st[1,15]"
-10.3898924018607,0.00192119679722232,0.23210852066005,-10.8385274429619,-10.5469199482168,-10.3907014478226,-10.2357033281689,-9.92344886212499,14596.1547549657,0.999590453086978,"alpha_st[2,1]"
-11.3269678843234,0.00252968208765713,0.271712467453827,-11.862234974452,-11.5171226224871,-11.3238469149256,-11.1432091390309,-10.7945502401608,11536.8498806622,0.999951405633863,"alpha_st[2,2]"
-11.4761949329723,0.00254341239647852,0.270720935965185,-12.0232633917821,-11.655234637782,-11.4705482716544,-11.2977989982276,-10.9581779385528,11329.4836843427,0.999892130212619,"alpha_st[2,3]"
-11.0317882671127,0.00186100517342245,0.238169854482245,-11.506369913368,-11.1902958848421,-11.0301418641803,-10.8709477796417,-10.5720711587044,16378.6620427857,0.999899441920013,"alpha_st[2,4]"
-10.6726372100524,0.00168959503351156,0.221786497317224,-11.093993384615,-10.8274739291332,-10.673942083204,-10.5220423122891,-10.2252289579423,17230.7807256231,0.999779337359421,"alpha_st[2,5]"
-10.549757386422,0.00168758915565882,0.222052579299439,-10.9737853721592,-10.7000870464872,-10.5525465558135,-10.4015887538674,-10.1089264806033,17313.2337436613,0.999542934679372,"alpha_st[2,6]"
-10.3378306964701,0.00165814611846981,0.20834607607275,-10.7383112677659,-10.4778244706739,-10.3420957476091,-10.1969240224471,-9.92263580116946,15787.9249683759,0.999706428259052,"alpha_st[2,7]"
-10.4352971043862,0.00173676401801395,0.21999303306598,-10.8584089123129,-10.5864507950408,-10.4362843339646,-10.2857057291148,-9.9909300491847,16044.8709741058,0.999741966879115,"alpha_st[2,8]"
-10.3545878345594,0.00170137786822592,0.20370601366449,-10.7509009543849,-10.4902051529412,-10.3580471862315,-10.223051071067,-9.94811812693357,14335.2787411611,0.999796562021347,"alpha_st[2,9]"
-10.7489186126014,0.00178180692487271,0.211611064393772,-11.1534084280988,-10.8939795124967,-10.7523067635856,-10.6049436670461,-10.3275213469209,14104.4273584957,0.99974173756563,"alpha_st[2,10]"
-11.9497648509898,0.00258397225741613,0.28375664929173,-12.5099993832072,-12.1403852978674,-11.9489820084404,-11.7561515699122,-11.3996492524608,12059.1417791679,0.999884952254148,"alpha_st[2,11]"
-12.5072722778108,0.00304115869336379,0.317789465834973,-13.1472743392621,-12.7243299538326,-12.4988371652625,-12.2853087198694,-11.906254512251,10919.4516074245,0.99975352879296,"alpha_st[2,12]"
-13.0171906966215,0.00364954932280373,0.352889001281481,-13.7540893206695,-13.2449424535699,-13.0099168495847,-12.780519190754,-12.3545971789234,9349.70203176252,0.999918191445815,"alpha_st[2,13]"
-13.0076871904762,0.00338813698444526,0.353702076313287,-13.7246107489113,-13.2402836260118,-12.9979673424219,-12.7669555085214,-12.3426519411642,10898.162940966,0.99956014975212,"alpha_st[2,14]"
-13.0107439577366,0.00362723826041891,0.404239961146121,-13.8392008062523,-13.2782755013772,-13.0043355936243,-12.7344295346294,-12.2392717176094,12420.1350859181,1.00033153567609,"alpha_st[2,15]"
-13.2658535646834,0.00509865789495565,0.522028979358984,-14.3312660296738,-13.6067110386338,-13.2566219958723,-12.9006226004249,-12.2883288321041,10482.8043236834,0.999616279838445,"alpha_st[3,1]"
-13.5638591918525,0.00509285136103797,0.489963989109307,-14.5708102896784,-13.8900541314537,-13.5461662537243,-13.2245666837914,-12.6515654794813,9255.63716875218,0.999852755362237,"alpha_st[3,2]"
-13.6474898536137,0.00501411359958963,0.462530514157113,-14.5997716441637,-13.946585283366,-13.6365016506956,-13.3351591956979,-12.7800218219759,8509.27267438955,1.00017110304423,"alpha_st[3,3]"
-13.689921648966,0.00504991024465691,0.453991893156093,-14.6126037659503,-13.9939826401648,-13.6818944894417,-13.37532051465,-12.8385029534692,8082.18667670493,0.999913141142059,"alpha_st[3,4]"
-13.8592222391989,0.00512083659965635,0.452879202461096,-14.7882582444361,-14.1538447660114,-13.8473506121536,-13.5448041802494,-13.0054133375137,7821.37155816761,0.99967938043537,"alpha_st[3,5]"
-13.8470089921596,0.00504372353125271,0.450997749044862,-14.7615395298001,-14.1492805301964,-13.8420265262823,-13.5307118867157,-12.9931358596255,7995.51058713181,1.00008306841336,"alpha_st[3,6]"
-13.7949534885387,0.00478859097396185,0.436929266113555,-14.6575645909104,-14.0819971733915,-13.7849092725897,-13.4936606068243,-12.9683087701991,8325.43214373231,0.999724609282011,"alpha_st[3,7]"
-13.555110006423,0.00442598279960603,0.416861191899037,-14.3981537950916,-13.8267187044811,-13.550480516916,-13.2718844667988,-12.7623778123385,8870.81430663624,0.999945200760363,"alpha_st[3,8]"
-13.5252002282478,0.00431711601757732,0.408952973862959,-14.3520377159193,-13.7930022866669,-13.514170374453,-13.2450280908738,-12.7437474232738,8973.44698600437,0.9998673834062,"alpha_st[3,9]"
-13.5346008684186,0.00436064285335097,0.406771883315295,-14.3529960446218,-13.8076161280519,-13.5241396571769,-13.2587371347332,-12.7694998507032,8701.63406243056,0.999862394985768,"alpha_st[3,10]"
-13.5737868091921,0.00437898157354245,0.402928465238833,-14.388970486713,-13.8390892266692,-13.5562751757306,-13.2997020026194,-12.8204388130744,8466.61211635774,1.00006458557645,"alpha_st[3,11]"
-13.6482207601557,0.00427979705950557,0.408844406760601,-14.4564110680636,-13.9165400629801,-13.6405902097283,-13.3768586592591,-12.8634597594197,9125.77526379866,0.999871109374893,"alpha_st[3,12]"
-13.451650570256,0.00427091887828088,0.399909081229716,-14.26739537262,-13.7099165218538,-13.4389013905055,-13.1846313362341,-12.6920550763316,8767.58303340219,0.999943950627133,"alpha_st[3,13]"
-13.3864569915244,0.00422330200851418,0.415505053332661,-14.2464424110682,-13.6472071115651,-13.3715237039593,-13.1008136092393,-12.6108371388022,9679.39787597691,0.999829790803047,"alpha_st[3,14]"
-13.5652759819394,0.0044528312208965,0.484314298760522,-14.5655926237369,-13.884730014852,-13.5496846796999,-13.2291762700305,-12.6642466442038,11829.9283528969,0.999897317134585,"alpha_st[3,15]"
-11.4076027059777,0.00776851255813027,0.642707239722097,-12.7387196663468,-11.822064730214,-11.3855070521434,-10.9730793537894,-10.2115016429872,6844.64045394623,1.00013813041688,"alpha_st[4,1]"
-11.7432850418281,0.0077001291949081,0.597240419548504,-12.9610504384483,-12.1328689294433,-11.7270055030939,-11.3257556727566,-10.6435503845474,6015.92425956516,1.00022563197729,"alpha_st[4,2]"
-11.9604065837012,0.00811858190432522,0.580382940527833,-13.1482409589878,-12.3305897375706,-11.9403959229505,-11.5669901754197,-10.8667983672712,5110.56509268804,1.00034255704258,"alpha_st[4,3]"
-12.0782000679572,0.0084722430088672,0.581448807757437,-13.2936697218917,-12.4496446145336,-12.0533143126116,-11.6785258384546,-10.9969965917635,4710.0569735721,1.00031564209122,"alpha_st[4,4]"
-12.4228554891703,0.00884438816072196,0.593744440425149,-13.6291474599118,-12.8123512715868,-12.4027915789931,-12.015888890206,-11.3169441430479,4506.75057788302,0.999976783504229,"alpha_st[4,5]"
-12.6950880583578,0.00941081242241726,0.607188845164785,-13.9486771595887,-13.0977130961428,-12.6685556671034,-12.2779135122547,-11.5658450635199,4162.87465757094,1.0002749151592,"alpha_st[4,6]"
-12.9034495442057,0.0100338206386579,0.621419140027758,-14.1816677769841,-13.3044275968074,-12.887339316555,-12.4862425251502,-11.7335153313334,3835.62891870232,1.00026605032077,"alpha_st[4,7]"
-13.0546851807239,0.0105042236583671,0.642144716175704,-14.3792097981505,-13.4701231056036,-13.0364992277822,-12.6196661578716,-11.8677991670977,3737.12742408064,1.00048935239193,"alpha_st[4,8]"
-13.1756585755195,0.0113585063558648,0.662167013155077,-14.5309484831807,-13.6121069843846,-13.1457217635216,-12.7174093088298,-11.9464320612717,3398.54193481041,1.00055151114217,"alpha_st[4,9]"
-13.2410305064898,0.0117785988379313,0.683773199110281,-14.6988962973556,-13.6757744945444,-13.215266779193,-12.7736192328226,-12.0059411161446,3370.05421508029,1.00094168959205,"alpha_st[4,10]"
-13.4311829754271,0.0120302273203185,0.709731874165397,-14.8973752511335,-13.8889951870397,-13.4006044421998,-12.9332900015957,-12.1600283846224,3480.49450400312,1.00111451091439,"alpha_st[4,11]"
-13.5831035459904,0.0124090553144031,0.744023935125596,-15.140062370434,-14.0542573935187,-13.5468780756752,-13.0608307687127,-12.262872281658,3594.97912547476,1.00098633739571,"alpha_st[4,12]"
-13.6992081364253,0.0126700170474851,0.785080629983869,-15.3528207631721,-14.2078659678124,-13.6598813693082,-13.1454480511808,-12.2831232967068,3839.49517486921,1.00103264119545,"alpha_st[4,13]"
-13.7801052578565,0.0124885036571167,0.840018486306541,-15.5119687026026,-14.3218986427704,-13.7401569875639,-13.1887510254354,-12.2533398267025,4524.35710967995,1.00039531472192,"alpha_st[4,14]"
-13.8178760054617,0.0129466257856328,0.913492247993488,-15.7435323987043,-14.4085739998191,-13.7726842829304,-13.170910413562,-12.1765022324971,4978.47742471936,1.0001631251487,"alpha_st[4,15]"
-9.32726557782617,0.00165770862377374,0.212811343857589,-9.72890185549463,-9.47558481863034,-9.33132642405377,-9.18651611413666,-8.90233296644012,16480.6051642554,0.999528277030496,"alpha_st[5,1]"
-9.60173283400061,0.00151946397229055,0.199222971181617,-9.97868657654737,-9.74118194843215,-9.60454268031603,-9.46703274410998,-9.19858222878172,17190.8761497522,0.999639728761331,"alpha_st[5,2]"
-9.70627691622017,0.00144867923765854,0.189297607290233,-10.0620032580399,-9.83505519861446,-9.71262197412159,-9.58038109463473,-9.32532749466553,17074.4128138756,0.999621521553177,"alpha_st[5,3]"
-9.75331813895776,0.00141318773371249,0.193032003016785,-10.1138769455008,-9.8898319234874,-9.75708685379657,-9.62325668793932,-9.36283306256978,18657.7348145557,0.999628446570125,"alpha_st[5,4]"
-9.87984376455648,0.00144339944618383,0.193682076198569,-10.2510361469997,-10.0122675260882,-9.88321930973205,-9.75335770177914,-9.49562827339405,18005.5252603263,0.999631782156615,"alpha_st[5,5]"
-9.90762647168998,0.00153177849434199,0.202864766431731,-10.2949238858476,-10.0470970139242,-9.91027132736352,-9.77227659551576,-9.50677317835995,17539.6658292109,0.999622955804107,"alpha_st[5,6]"
-9.53409713696856,0.00144018616049319,0.189831449335705,-9.8972220785287,-9.66516354600386,-9.53794655144359,-9.40805752483161,-9.14912940141732,17373.9697319047,0.999612770341668,"alpha_st[5,7]"
-9.24809877748701,0.0014399114871923,0.187704513715954,-9.60558322214621,-9.37655470823982,-9.25367251496638,-9.12211771539467,-8.86821217227082,16993.3045025454,0.999709118331931,"alpha_st[5,8]"
-9.08075490109722,0.00137944648085456,0.182085900730071,-9.42725201458426,-9.20344255795372,-9.08639013290289,-8.96012746108173,-8.70332350568512,17423.8019703492,0.999623158411248,"alpha_st[5,9]"
-9.07708438034492,0.00143094990095526,0.180471245756051,-9.42270178186739,-9.19965995927789,-9.08050639933599,-8.95353515312986,-8.71625453770656,15906.2269448285,0.999637012427027,"alpha_st[5,10]"
-9.26963315170874,0.00152745863097832,0.195824825071966,-9.63787141474447,-9.40633063041912,-9.271292430136,-9.13968450998586,-8.87354248403038,16436.0169651195,0.999874869847914,"alpha_st[5,11]"
-9.20271687495345,0.0014243950530551,0.194441767874871,-9.56667011367309,-9.33585820044512,-9.20861148473522,-9.07048396389216,-8.81179011906982,18634.5199276655,0.999713521166926,"alpha_st[5,12]"
-9.0992105416149,0.00154010916180587,0.18944449983203,-9.46463174619801,-9.22756907910418,-9.10108787374906,-8.97579600378465,-8.71410554167735,15130.7687190206,0.999848551516656,"alpha_st[5,13]"
-8.9901763522694,0.00144880916199024,0.189865077914957,-9.35195809651225,-9.12061019354097,-8.99389527811176,-8.86576121745218,-8.60944309926786,17173.8559670981,0.999821340709637,"alpha_st[5,14]"
-8.84669534039818,0.0015775809565515,0.205106269097339,-9.23807080685382,-8.98942957025728,-8.85229389179415,-8.70858064384251,-8.43103977902583,16903.4190997504,0.999656607039233,"alpha_st[5,15]"
-10.2261643982889,0.00168981639193625,0.230578899038189,-10.6642323341795,-10.3836242267677,-10.231721921311,-10.0749647684872,-9.76352330986966,18619.1600491451,0.999704334486547,"alpha_st[6,1]"
-10.0984575075729,0.00150729338622763,0.19666289479336,-10.4731726862136,-10.2325170115979,-10.1022338442636,-9.96719747058079,-9.70309461454451,17023.5161835356,0.999739124414567,"alpha_st[6,2]"
-10.2364607061956,0.00148657280148398,0.203366202483248,-10.6238785754047,-10.3761375301024,-10.2393333341405,-10.0996047550635,-9.82960897271438,18714.8001049329,0.999691313379431,"alpha_st[6,3]"
-10.1893538231314,0.0015879141076754,0.200368410390376,-10.5670576730877,-10.3238218378097,-10.1919916016792,-10.0555331135253,-9.7837051994575,15922.251925674,0.99994864959025,"alpha_st[6,4]"
-10.2402852706953,0.00148191694495062,0.190812197571954,-10.6066481862203,-10.3691704250136,-10.2424875631888,-10.1129547037205,-9.86042720706689,16579.2369542415,0.999686097268467,"alpha_st[6,5]"
-10.6261504720229,0.001602902466364,0.208765543340593,-11.024452507366,-10.7703922418025,-10.6298096768774,-10.4868421038084,-10.2137724893817,16963.0306179248,0.99999895966839,"alpha_st[6,6]"
-10.5530677406062,0.00161304349362197,0.195130207062988,-10.9180598766026,-10.6856341541908,-10.5565939928392,-10.4235692468198,-10.1611218336017,14633.7912425357,0.99954136279283,"alpha_st[6,7]"
-10.7676523192035,0.00181015733219513,0.221590186174056,-11.1911385214642,-10.9162086170995,-10.7740731125756,-10.6230181107772,-10.3230310528675,14985.4019760425,0.999650010042016,"alpha_st[6,8]"
-10.3178434710893,0.00143243133028131,0.181453237637206,-10.6606513684922,-10.4414147894929,-10.3204779189406,-10.1965227088978,-9.95065495916005,16046.555425816,0.999661604898747,"alpha_st[6,9]"
-10.5539002222107,0.001427352134953,0.18666818980969,-10.9128219007581,-10.6819444847686,-10.5574035461806,-10.4281196748623,-10.1873040386298,17103.2393721885,0.999709491287184,"alpha_st[6,10]"
-11.1824283047237,0.00181714372116854,0.222804944628439,-11.6172874214494,-11.3318003468766,-11.1808971447976,-11.0340896925224,-10.7448552925398,15033.8805018729,0.999765866878447,"alpha_st[6,11]"
-11.299452712806,0.00168750261453024,0.221866587998057,-11.7271113826108,-11.4516858885292,-11.3037827113341,-11.1521191644304,-10.8498349361532,17286.0155916979,0.999846443919016,"alpha_st[6,12]"
-11.1794542649237,0.00166481621059135,0.214958396257503,-11.5926082048576,-11.3286460023044,-11.1821020684153,-11.0364151171366,-10.7545432267586,16671.5597995567,0.999694298350928,"alpha_st[6,13]"
-11.0076889192836,0.00148920540046189,0.211445252698816,-11.4183079958566,-11.1528747335953,-11.009042152145,-10.8657396634424,-10.5881984994201,20159.8210594139,0.999827040226033,"alpha_st[6,14]"
-10.6372725982644,0.00159235680730808,0.211267710994802,-11.0344054657259,-10.7814063605143,-10.6430085582119,-10.4958116330722,-10.2181794578782,17602.9508428196,0.99955105723727,"alpha_st[6,15]"
-9.47690588616283,0.00172938154274202,0.233140530453134,-9.92272117343071,-9.64017617206217,-9.47945788749155,-9.3229339083569,-9.01380847569026,18174.1421854537,0.99988049401062,"alpha_st[7,1]"
-9.64822268769507,0.00161458881383317,0.199450072267885,-10.0283272100024,-9.78637809877893,-9.64938980645434,-9.51259315837489,-9.2540205875921,15259.6480610986,0.999674388754436,"alpha_st[7,2]"
-10.1738003286263,0.00167284962717501,0.215493446639078,-10.592018102182,-10.3198751470342,-10.1756536605436,-10.0319560971577,-9.7425922717853,16594.1238454541,0.999802239192963,"alpha_st[7,3]"
-10.7330001301906,0.00202781661886563,0.24036068059943,-11.2098663853369,-10.8944974357983,-10.7273049738341,-10.5702994379112,-10.2651941270539,14049.7790415024,0.99961065896461,"alpha_st[7,4]"
-10.8200060802864,0.00210968105217794,0.246869088695098,-11.2952134109698,-10.9874076211087,-10.8199090387652,-10.6526951163921,-10.331782664054,13693.0383053862,0.999793589623152,"alpha_st[7,5]"
-10.4777345135914,0.00171007560385805,0.222908258381395,-10.9147123283681,-10.6238369937414,-10.4794412645722,-10.3294629603566,-10.0413868546839,16991.1077762113,0.999794407026736,"alpha_st[7,6]"
-10.1492577479987,0.00158849920359621,0.205719784920746,-10.5471961249027,-10.2901272861876,-10.1530841309148,-10.0089882327019,-9.73919548335066,16771.7399653819,0.999636488124877,"alpha_st[7,7]"
