"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7524259686462,0.0049991080081233,0.511484701384996,-12.8039848279626,-12.0930581982925,-11.730281813412,-11.3963607571546,-10.8034746906379,10468.3987475269,0.999818609316412,"alpha_st[1,1]"
-11.9646085808755,0.00487716841784625,0.465178852729609,-12.916706647188,-12.2673321815165,-11.9506636665692,-11.6475982758522,-11.0936238336296,9097.13041619336,0.999890234105354,"alpha_st[1,2]"
-12.0888346505276,0.00486358707101311,0.446382415757215,-12.9948786767667,-12.3856230289745,-12.0774153947779,-11.7796187125127,-11.2569597085727,8423.65876817837,0.999966426381138,"alpha_st[1,3]"
-12.1451981936446,0.00477735696840498,0.438264593235438,-13.0316520790081,-12.438310207215,-12.140379573171,-11.8432727037525,-11.3235672148482,8415.83835616548,1.00015745267253,"alpha_st[1,4]"
-12.1448363103495,0.0046072796624715,0.426074865425308,-12.9951431634507,-12.430531706592,-12.1378431750478,-11.8492404532678,-11.3414354354299,8552.29516858085,1.00025588375572,"alpha_st[1,5]"
-11.9168244894817,0.00419371897595407,0.3999383747054,-12.7107244100498,-12.1850181041536,-11.9060197700861,-11.6432691255742,-11.1639534665169,9094.68172608009,0.999986370822162,"alpha_st[1,6]"
-11.3964215279834,0.00334995563728874,0.351504659427091,-12.085812632912,-11.6345370836768,-11.3947160020676,-11.1539990764037,-10.7127403554686,11009.9174031507,0.999705892761604,"alpha_st[1,7]"
-11.0024071939876,0.00290003815436572,0.3144389435172,-11.6157619920951,-11.2161008461695,-10.9977771054495,-10.7871113327176,-10.4016164687027,11756.1531036174,0.999638091043803,"alpha_st[1,8]"
-10.7594888049591,0.00279823049710331,0.2992037797151,-11.3583304044978,-10.9580130585171,-10.754055221476,-10.556302930603,-10.1964031348252,11433.1836589124,1.00000609603082,"alpha_st[1,9]"
-10.7926575253651,0.0027785829835927,0.305989144598533,-11.3994844760884,-10.9961585144918,-10.7876977512223,-10.5877419757013,-10.186021703715,12127.3327987103,0.999599501673616,"alpha_st[1,10]"
-10.5394520169312,0.00265082192990907,0.280833249978962,-11.0875614388993,-10.7294161362439,-10.5377638094328,-10.3501216065241,-9.99163413446446,11223.6972191474,1.00012758737804,"alpha_st[1,11]"
-11.3809401434933,0.00335521840647046,0.341209486995096,-12.0708888436112,-11.6057724712788,-11.375279429592,-11.1457546197436,-10.743523593485,10341.9064351358,0.999902732538877,"alpha_st[1,12]"
-11.8250661104825,0.00417029376976384,0.38351572622337,-12.6164820615594,-12.0739757078453,-11.8167886171232,-11.5672331631229,-11.0959155625746,8457.32569316971,0.999941133134455,"alpha_st[1,13]"
-12.0426157705791,0.00446071023680315,0.423926548463121,-12.909598106499,-12.318652706471,-12.0269384278479,-11.7534003544478,-11.2578626444485,9031.77697160125,1.00017832474615,"alpha_st[1,14]"
-12.0854843547003,0.0050268686814232,0.491081508807417,-13.1002745650288,-12.4005044397008,-12.0708682176321,-11.7516000859354,-11.1547867273283,9543.59679608235,1.00004484384137,"alpha_st[1,15]"
-10.3904485030789,0.00201258426535887,0.23839450982173,-10.845156497098,-10.5524004660031,-10.3897722236769,-10.2307046903578,-9.91981006415586,14030.861992828,0.999663277848857,"alpha_st[2,1]"
-11.3271385779307,0.00247393875499938,0.277287069529358,-11.8916124869664,-11.5088213640295,-11.3235538356708,-11.1420417324156,-10.7995783955329,12562.6525355347,0.999886958849807,"alpha_st[2,2]"
-11.4772320549934,0.00248167901794724,0.275040738964514,-12.0215952792908,-11.6606924875068,-11.4791352419179,-11.2897259856841,-10.9406083751115,12282.9542618409,0.999998104005818,"alpha_st[2,3]"
-11.0296975077892,0.00199995263847013,0.23948486970199,-11.5009111503206,-11.1894163849277,-11.0337433422572,-10.8669446457101,-10.5587215641113,14338.9298096562,0.999777044177373,"alpha_st[2,4]"
-10.6717902062844,0.00186971996380553,0.222094386071648,-11.1091574171939,-10.8217048462079,-10.6729883967009,-10.5225725579838,-10.243780056913,14109.8381282119,0.999616368919215,"alpha_st[2,5]"
-10.549949883878,0.00178584512858111,0.220379532776199,-10.9903998510122,-10.7002302744705,-10.5496117268095,-10.4017216619613,-10.1164836209213,15228.4229072136,0.999611390179479,"alpha_st[2,6]"
