"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.0676651009455,0.00333560477183928,0.34887920323869,-10.7582527688904,-10.3002450269043,-10.0702434422863,-9.83264963656354,-9.38796906171598,10939.5886192377,0.999932097445655,"alpha_st[1,1]"
-9.404524018429,0.00238161175067916,0.234376896228588,-9.86079349914157,-9.56001362324076,-9.40273390044137,-9.24953152898794,-8.94383773198144,9684.73336973633,0.999835117525176,"alpha_st[1,2]"
-10.1437665214862,0.0028926395102703,0.273532870323085,-10.6780651408271,-10.334333500961,-10.140244294668,-9.95730310395047,-9.6239619664623,8941.9125403468,0.999923062035628,"alpha_st[1,3]"
-11.0420180451386,0.00441781855080117,0.337786254002234,-11.716002490788,-11.2715568354943,-11.0349123164474,-10.8083064394975,-10.3984357497927,5846.12632504751,1.00052103639001,"alpha_st[1,4]"
-11.5047749763476,0.00525366387418277,0.368396782323036,-12.2566538007129,-11.7464543023356,-11.4928332642479,-11.2556779676211,-10.8024925784237,4917.07790997716,1.0014089194739,"alpha_st[1,5]"
-11.5698263380321,0.00484295879720842,0.373523637576396,-12.3313655909224,-11.816313349981,-11.5639372397447,-11.3128480431023,-10.8598955262109,5948.59815832956,1.00063999992469,"alpha_st[1,6]"
-11.2335221534116,0.00430120581831269,0.342655080424243,-11.9119587635779,-11.4608835797053,-11.2293797777154,-11.0003466767139,-10.5791551127118,6346.49440388658,1.0004319506457,"alpha_st[1,7]"
-10.9372169737574,0.00379459577986897,0.322100294862763,-11.5823515042246,-11.1509851852298,-10.9355434580975,-10.7163668596388,-10.3078155401046,7205.28570196176,0.999826416699445,"alpha_st[1,8]"
-10.7427120553752,0.00349240053578474,0.301982876581973,-11.3429720496222,-10.9454625192059,-10.739347035701,-10.5341219190181,-10.1604675628261,7476.81341885827,0.999692292236308,"alpha_st[1,9]"
-10.7826590565451,0.00349130615241047,0.301173287449211,-11.3717033871996,-10.9827231057418,-10.7805054471794,-10.58453688463,-10.2000725394719,7441.44080752973,1.00056683864375,"alpha_st[1,10]"
-10.5157990482345,0.00321917763784971,0.271909509591186,-11.0474826461699,-10.6980065574902,-10.5150174343042,-10.3303519935235,-9.99036868600599,7134.4238819408,0.999879775565733,"alpha_st[1,11]"
-11.2970686230839,0.00408810995326432,0.334888103375461,-11.9630659248792,-11.519397891304,-11.2894720705263,-11.0655313572597,-10.6514624568219,6710.4910844838,0.99996802169734,"alpha_st[1,12]"
-11.6339956115133,0.00482311539852593,0.365246537411306,-12.3687366350608,-11.8750233465236,-11.6282722006993,-11.381828424148,-10.9400951397819,5734.78193927706,1.00002886454678,"alpha_st[1,13]"
