"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.0604051887182,0.00373570594554985,0.341382272751858,-10.7378915222441,-10.2933942400865,-10.052110683814,-9.83033024483601,-9.40083835111339,8350.96307823257,1.0001296853201,"alpha_st[1,1]"
-9.3994295761202,0.00270231208643748,0.233222917304046,-9.87600674040333,-9.55500430157517,-9.39850848301192,-9.24051670252423,-8.94294461815042,7448.5448927052,1.00075848301245,"alpha_st[1,2]"
-10.1456281984168,0.00311313576347725,0.267789320961482,-10.6777422727899,-10.321819079477,-10.1452356587811,-9.96188517793153,-9.62514449027397,7399.29575564877,1.00016177669212,"alpha_st[1,3]"
-11.0467484565318,0.00443354105676348,0.340846939548158,-11.7264685371661,-11.2770697084093,-11.0397261892956,-10.8103733899403,-10.4077688398486,5910.40618834907,1.00010832336013,"alpha_st[1,4]"
-11.5173416682572,0.00520811299266221,0.372706241921457,-12.2729199530444,-11.7598471865779,-11.5102137227751,-11.2648431231882,-10.8020818543183,5121.20943072258,1.00054007992952,"alpha_st[1,5]"
-11.5766707321143,0.00531048995099607,0.377784787474454,-12.3605729414222,-11.8210101442917,-11.5664159724453,-11.3199818186409,-10.8687422885496,5060.80669454777,1.00130925159688,"alpha_st[1,6]"
-11.2404726069959,0.00463955079120557,0.345125455299365,-11.9377613379268,-11.4631647233291,-11.2315196962009,-11.000018017939,-10.5932785269185,5533.52808054711,1.000287398553,"alpha_st[1,7]"
-10.9329290546598,0.00412176993039729,0.314194718614439,-11.5716454268458,-11.1421197768312,-10.9270454846746,-10.7150456445282,-10.3444791808956,5810.72427204853,1.00087810219741,"alpha_st[1,8]"
-10.7378184393095,0.00379626636455295,0.300045869433269,-11.3331105215309,-10.9355581253723,-10.7389624411454,-10.5327234316311,-10.169810550017,6246.86255812599,1.00047303263819,"alpha_st[1,9]"
-10.7800060549784,0.00341899491868773,0.295722798623065,-11.3696340385116,-10.9770346368461,-10.7794661830839,-10.5848720900934,-10.2002834998295,7481.2247926163,1.00003820464042,"alpha_st[1,10]"
-10.5164939584385,0.00334938630521643,0.275677305118032,-11.0652433934181,-10.6939736763497,-10.518208158954,-10.3300768640154,-9.98566480301119,6774.41111382142,1.00027308702321,"alpha_st[1,11]"
-11.3012881902028,0.00422971634103818,0.330883995513884,-11.9564603686808,-11.5211395293409,-11.2962137496432,-11.0765693489059,-10.6657331081078,6119.68455294067,0.999708919065852,"alpha_st[1,12]"
-11.6356599022393,0.00499246182617314,0.358984542075327,-12.356021979911,-11.873477267395,-11.6270130929978,-11.3973711460348,-10.9434801515155,5170.37437821894,0.999852600585555,"alpha_st[1,13]"
-11.6610507962502,0.00516224034692712,0.380069103099745,-12.4484717742118,-11.9049037879335,-11.6515406352709,-11.404197314605,-10.9387476746022,5420.616594821,0.999983962949088,"alpha_st[1,14]"
-11.6904036889196,0.00536252227403841,0.432066040067067,-12.5810810713608,-11.9721589193701,-11.6713839470366,-11.3909828771712,-10.8939041089747,6491.7538910836,1.00002756363493,"alpha_st[1,15]"
-8.23714000532649,0.00214190260875788,0.221849177664386,-8.65617630649974,-8.391551866726,-8.24145573216247,-8.09104926769388,-7.78448977640507,10727.9368135467,0.999723804894171,"alpha_st[2,1]"
-8.19995581108262,0.00187343957782215,0.19381164600507,-8.58062707147887,-8.33086443174908,-8.20561709117255,-8.07041045930485,-7.81522386437755,10702.3797854387,1.00022842214695,"alpha_st[2,2]"
-8.00268372045216,0.00191497416656733,0.195933555136384,-8.37712430647926,-8.13549171748762,-8.00704020599015,-7.86851022733489,-7.61610124225811,10468.676946117,1.00035483024654,"alpha_st[2,3]"
-7.80825744135519,0.00185247231028345,0.188895766023352,-8.16988334297179,-7.9345327874444,-7.81236867843052,-7.68317713260953,-7.42708871487198,10397.7889242279,0.999706958256567,"alpha_st[2,4]"
-7.6940679972074,0.00180542608086257,0.185836626683258,-8.05090369397668,-7.82241272614682,-7.69718962657166,-7.57373863574468,-7.31743667760684,10595.0547002768,0.999631658029307,"alpha_st[2,5]"
-7.75290305132836,0.00196260102431907,0.190975864838673,-8.1173606130007,-7.88302660395741,-7.75682820933382,-7.62735827154466,-7.36730642605782,9468.75606768382,0.999710469223589,"alpha_st[2,6]"
-7.78546419614027,0.00187554237628021,0.193159381517979,-8.15798161995229,-7.91631914752974,-7.79027413484015,-7.65767431681717,-7.39680144729738,10606.6405219163,0.999684857921251,"alpha_st[2,7]"
-7.81270907840258,0.00194803436183464,0.188414253469444,-8.16797653110624,-7.94250301358324,-7.81568710263849,-7.68629060519475,-7.43328254634197,9354.79514035655,0.999717618379217,"alpha_st[2,8]"
-7.83967107045625,0.00199609492619624,0.195889976074633,-8.2133971550889,-7.97281444487868,-7.84310343923566,-7.70991903339631,-7.44726238798651,9630.79292234213,1.00003247234316,"alpha_st[2,9]"
-7.82068311404702,0.00193821846167684,0.189298717419826,-8.1798336402136,-7.94830405895716,-7.82309999561004,-7.69830360645679,-7.42989225862233,9538.71539476545,0.99983237127168,"alpha_st[2,10]"
-8.0830663649043,0.00190507514374152,0.19497744968989,-8.4493885056579,-8.21578274906537,-8.08679045659681,-7.95467687530637,-7.69182496008625,10474.771302475,1.00003113569783,"alpha_st[2,11]"
-8.26468239790799,0.00192679844600573,0.198532288307897,-8.65009788305182,-8.39569812372732,-8.27103755748614,-8.13490984896663,-7.86527508403897,10616.7043129225,1.0003461894219,"alpha_st[2,12]"
-8.17060816115634,0.00186472227388662,0.19279980296932,-8.53937633763144,-8.30153089387501,-8.17285051466059,-8.04291437975409,-7.79081145794573,10690.1759807041,1.00000968335582,"alpha_st[2,13]"
-8.07141944016525,0.00200265272420557,0.189272420762594,-8.43985177441128,-8.1996755856513,-8.07542003124301,-7.94642780969749,-7.6836620490182,8932.30166845525,0.999868751838046,"alpha_st[2,14]"
-8.06017806005335,0.00209990153933355,0.210074582150085,-8.45888202496368,-8.20719454240267,-8.06503332376132,-7.91819951023696,-7.64107062556703,10008.0427760699,0.999831804896031,"alpha_st[2,15]"
-10.5528405323016,0.00258055135864815,0.256464119993204,-11.0651603707664,-10.7271431975202,-10.5548506361229,-10.3769561514021,-10.0501951553065,9877.07191075804,0.999935052768661,"alpha_st[3,1]"
-11.2781493609151,0.00355227827888505,0.295102896986599,-11.8690426564625,-11.4696591711175,-11.2726148573216,-11.0802349898116,-10.7117397664791,6901.33303255042,0.999754524663131,"alpha_st[3,2]"
-10.6171498192888,0.0027572266571874,0.247296946357532,-11.0913953224219,-10.7849182770456,-10.6171348844241,-10.4520049125771,-10.1397619439278,8044.37986088968,0.999737580140418,"alpha_st[3,3]"
-9.24281960148389,0.00190192120875188,0.183001049984991,-9.59201173567322,-9.36663661391241,-9.24550895948888,-9.12433959403482,-8.87064858691249,9258.10539106686,0.999857307008438,"alpha_st[3,4]"
-8.9983495473388,0.00194571761322244,0.204115586413808,-9.39428669446116,-9.13866094165071,-9.00036037803613,-8.86197402079886,-8.58867697569226,11005.0676729632,0.999620211700954,"alpha_st[3,5]"
-8.41740710100155,0.00187171793197058,0.187878665472783,-8.76964790354815,-8.54699413016757,-8.42150380961035,-8.29097170091974,-8.03712259026548,10075.6745500152,0.999881560091904,"alpha_st[3,6]"
-8.2308826473235,0.00186735854003763,0.187614264139845,-8.59418667507309,-8.35885749925472,-8.23562712278061,-8.10674873523464,-7.85273110357428,10094.3017796367,1.0004867166369,"alpha_st[3,7]"
-8.25873519679255,0.00188230727398684,0.193089478581274,-8.62488595539566,-8.39047098911466,-8.26364038949379,-8.13017441558015,-7.86905212070264,10522.9178142912,0.999909873966289,"alpha_st[3,8]"
-8.33663615877773,0.00179836051864115,0.19126461389583,-8.69957522073234,-8.46863542813401,-8.33981185602928,-8.20826484698255,-7.9565696369818,11311.3837700815,1.00009765517095,"alpha_st[3,9]"
-8.49055792922529,0.0017768766801248,0.187325298633708,-8.84361511368846,-8.62030102511506,-8.49402182721744,-8.36269980417696,-8.11762282393988,11114.202155655,0.999636103976224,"alpha_st[3,10]"
-8.9098432319643,0.00218771520361142,0.204540244843271,-9.30054627998399,-9.04843946841108,-8.91093828768104,-8.77154607530261,-8.50753810517705,8741.29894601525,0.999750908670644,"alpha_st[3,11]"
-8.94506764077044,0.00213298067497695,0.198604027695482,-9.32564226097134,-9.07999748801735,-8.94663456127382,-8.81229546482126,-8.54367327371369,8669.66391449545,0.9997440485911,"alpha_st[3,12]"
-8.90210910772518,0.00197873276526465,0.199370017532043,-9.27847279375597,-9.04123852210561,-8.90647379543098,-8.7689439946877,-8.49485899906618,10151.8549458118,0.99968553490221,"alpha_st[3,13]"
-8.8763031973617,0.00189901457725739,0.188549682322149,-9.23488996021223,-9.0041210866564,-8.88003897001479,-8.74890684128664,-8.498704959046,9858.14071689574,1.00034494764388,"alpha_st[3,14]"
-9.3305859619167,0.00236776468304975,0.231838263980523,-9.77734472032785,-9.4919739889592,-9.33341808352857,-9.17743668670219,-8.85554361183966,9587.23019866258,0.999668761907851,"alpha_st[3,15]"
-11.9797837063687,0.00884064048104545,0.563336334818223,-13.1358642042001,-12.3561926819924,-11.9547550111947,-11.583123740798,-10.9305542799996,4060.39298142133,1.00046015321212,"alpha_st[4,1]"
-12.2935680700614,0.00918464883803847,0.519700345448375,-13.3708292857881,-12.6297996779449,-12.2761346140031,-11.9351021130302,-11.3299470882544,3201.70193406035,1.00058638541395,"alpha_st[4,2]"
-12.4473854645007,0.00990354947082425,0.51079224720217,-13.4927767943929,-12.7825274355035,-12.4306117456734,-12.0936875296622,-11.5213122258109,2660.15439146322,1.00074254811696,"alpha_st[4,3]"
-12.4556609689505,0.00928784690606643,0.498854799187026,-13.4930964909622,-12.7811478109877,-12.4406925438831,-12.1113540004375,-11.5267386183488,2884.81662983423,1.00077781412434,"alpha_st[4,4]"
-12.6544173340001,0.00992129255452314,0.499165493763175,-13.7161827444952,-12.9804617583956,-12.6382704028679,-12.3104482631753,-11.7319557915796,2531.35234316104,1.00078687868276,"alpha_st[4,5]"
