"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.0678529107769,0.00328590550312997,0.343665357457855,-10.7586240608883,-10.2961116042844,-10.0594606444658,-9.83264764352752,-9.41894780441904,10938.5907132776,0.999672269389885,"alpha_st[1,1]"
-9.40258233899596,0.00243852147566121,0.230292176294185,-9.85874061408685,-9.55375185484457,-9.40096175657832,-9.2437976654884,-8.95745565865881,8918.77480828764,0.999644367780102,"alpha_st[1,2]"
-10.1459263476344,0.00294043409542523,0.267528665295324,-10.6744821984965,-10.3224928443999,-10.1451732100883,-9.96716404127912,-9.62719789822049,8277.85368709111,0.999708759743944,"alpha_st[1,3]"
-11.0504328548225,0.00415790203369012,0.335256706748859,-11.7421395999041,-11.2711709063048,-11.0468214367937,-10.822088371395,-10.4186454046355,6501.39337231377,0.999558290280409,"alpha_st[1,4]"
-11.5157583882311,0.00471993533959939,0.368829782477079,-12.2635122329481,-11.7582297972983,-11.5120450073285,-11.2653977337115,-10.8032365090497,6106.32431778738,0.999661638151477,"alpha_st[1,5]"
-11.5728775121356,0.00498654876551203,0.370622075838733,-12.317434083347,-11.8262048149631,-11.5612888299414,-11.3200092476082,-10.8721789753178,5524.11139066136,0.999880028962628,"alpha_st[1,6]"
-11.2283190995565,0.00410527563335805,0.335199979091944,-11.9170065504506,-11.4484892174036,-11.2178788687075,-11.0004065769997,-10.5827479708083,6666.89050889922,0.999758409060412,"alpha_st[1,7]"
-10.931229070328,0.00367919882515634,0.313264274250383,-11.5551336030782,-11.1421890852999,-10.9297110034736,-10.7143114601913,-10.3293785890665,7249.61966233208,0.999794902238453,"alpha_st[1,8]"
-10.737853794708,0.00346557477193783,0.296130074286864,-11.3282968945871,-10.9362454533804,-10.7325259219465,-10.5393323084965,-10.1685840558961,7301.5402603487,1.00011768562787,"alpha_st[1,9]"
-10.7819063877948,0.00334704256611995,0.29674708977244,-11.3662112875038,-10.978559093036,-10.7801179802685,-10.5844385006214,-10.2020629183236,7860.50531815036,1.00018318988882,"alpha_st[1,10]"
-10.5175099695277,0.00305963006129594,0.268242703941558,-11.0346047878242,-10.6981308896838,-10.5148090168279,-10.3361632754024,-9.99784034070855,7686.3117996321,0.999783232772383,"alpha_st[1,11]"
-11.3029599518423,0.00398184607160035,0.322221119718142,-11.937141129392,-11.5189351629494,-11.3005012345936,-11.0863663441226,-10.6822047142641,6548.45836268283,1.00009187635903,"alpha_st[1,12]"
-11.6394798640396,0.00472851176908115,0.358946945132733,-12.3550204502489,-11.8801768597214,-11.6330132216461,-11.3915633100797,-10.9627051257686,5762.50844012622,1.0002574019376,"alpha_st[1,13]"
-11.665069082697,0.00484630787705958,0.377507174794694,-12.4402358321889,-11.913710172344,-11.6599578403892,-11.4075842096876,-10.9496871640557,6067.76034024845,1.00034590877518,"alpha_st[1,14]"
-11.6994423263504,0.00517948277418389,0.428377609207419,-12.5714145754262,-11.9801434519013,-11.692512340018,-11.4118720799695,-10.8816096652621,6840.38804513582,1.00005323850473,"alpha_st[1,15]"
-8.232094255409,0.00209204252033616,0.224135061052942,-8.65650752489539,-8.38781801535757,-8.23697941802217,-8.08336805975584,-7.78421239242843,11478.3266855963,0.999704527931301,"alpha_st[2,1]"
-8.19340715090774,0.00184728435618218,0.199550242047947,-8.57168079662215,-8.33094954668814,-8.19736215340076,-8.06032011478643,-7.7907864005197,11669.0906332512,1.00008044912482,"alpha_st[2,2]"
-8.00127249905319,0.00185929413165783,0.190172031286036,-8.37418137231563,-8.13286063014869,-8.0011915080552,-7.8735041231293,-7.61983094204639,10461.5754978036,1.00026740025196,"alpha_st[2,3]"
-7.80544429501404,0.00198014544775831,0.195262926253511,-8.17501801877712,-7.93890859490644,-7.81058719348372,-7.67622681904482,-7.41000128077285,9724.01015071897,1.00019920527106,"alpha_st[2,4]"
-7.69489169836563,0.0017506950221169,0.19138174334419,-8.05796247439511,-7.82598232958229,-7.69821926014371,-7.56912196795484,-7.30789184915577,11950.3333230729,0.999954363460093,"alpha_st[2,5]"
-7.7548734643112,0.00182761201791197,0.18849017561347,-8.11363634552972,-7.88362863990134,-7.75695036631303,-7.628659833049,-7.38330051125235,10636.761652353,1.00004695497774,"alpha_st[2,6]"
-7.78411297807558,0.00180431942824535,0.192799880287967,-8.15059668109397,-7.91792384661034,-7.78686347246098,-7.65729203281156,-7.39413649008563,11417.9114053478,0.999612366694935,"alpha_st[2,7]"
-7.81232037105747,0.0018493621925031,0.190583994709448,-8.17401812591302,-7.94130133720676,-7.81755035446748,-7.68601612002004,-7.42439361520173,10620.1072257098,0.999634393821591,"alpha_st[2,8]"
-7.84501531131108,0.00187041888751916,0.194815091394062,-8.22158085675081,-7.97614010791127,-7.8495560543716,-7.71633350868143,-7.45993641023965,10848.4435737522,0.999900223214353,"alpha_st[2,9]"
-7.82143357899926,0.00180536648271981,0.18540167086197,-8.17801526233121,-7.94929263240521,-7.82445707786922,-7.70015871437669,-7.44867373723095,10546.2129586462,1.000029790372,"alpha_st[2,10]"
-8.0821601128361,0.0019377239439372,0.196021550129057,-8.4589379849273,-8.21483942442728,-8.08281976950014,-7.95117552639034,-7.68712545236913,10233.4913543572,0.999619555928746,"alpha_st[2,11]"
-8.26385169873693,0.00194410810487945,0.198346114737508,-8.64621210595782,-8.39488849632918,-8.26704871665015,-8.13406889326389,-7.86810882711555,10408.941649392,0.999880993790757,"alpha_st[2,12]"
-8.1692971912729,0.00184938554779097,0.192765360863495,-8.53306681694165,-8.30413399106604,-8.16989798677915,-8.04110204425969,-7.78598795630176,10864.3330947629,0.999882943226591,"alpha_st[2,13]"
-8.07187515878806,0.00179794185344439,0.190587464062687,-8.43388720575758,-8.20148106258499,-8.07624372251874,-7.94511289996544,-7.68406282578648,11236.663574464,1.00003604314615,"alpha_st[2,14]"
-8.06320551946921,0.00194511056794147,0.207701502957337,-8.46067852517351,-8.20468526536992,-8.06998989403083,-7.92802482030945,-7.64216786437763,11402.2534813186,0.999682391751433,"alpha_st[2,15]"
-10.5425773250284,0.00237788699154384,0.255010512361757,-11.0327187014933,-10.7144139258361,-10.5445414974934,-10.3746250468979,-10.0297890774588,11500.9507999907,0.99998573508076,"alpha_st[3,1]"
-11.2701949462898,0.00332888963336575,0.291418910904121,-11.8481521796315,-11.4663493191876,-11.2659656222834,-11.0707039122143,-10.7004506787662,7663.66775127743,1.00013441746699,"alpha_st[3,2]"
-10.6109580049285,0.00257770331733887,0.24821239683055,-11.0980482406483,-10.7797569133779,-10.6101133142835,-10.441673704237,-10.1226405141781,9272.16338427534,0.999657750837816,"alpha_st[3,3]"
-9.23998097436339,0.00179516179305851,0.182384075531252,-9.59569689110327,-9.36592373913358,-9.24188204602472,-9.11759679096671,-8.87780131450573,10322.0661845907,0.999658964190517,"alpha_st[3,4]"
-8.99738565472621,0.00189803593138465,0.201211590532384,-9.38645207396633,-9.13220366043966,-9.00084387933915,-8.86304830080552,-8.5954784070917,11238.2096256931,0.999809460131663,"alpha_st[3,5]"
-8.41800228848676,0.0017635388671755,0.18655644131666,-8.76720366499825,-8.54801272254058,-8.42180638468715,-8.29368146052439,-8.04808298551912,11190.5240804265,0.999716147156106,"alpha_st[3,6]"
-8.23005522386532,0.00184546616533382,0.191785304432164,-8.59351740270866,-8.36650143771379,-8.23254746134111,-8.10377566077283,-7.84334285925725,10799.8687595089,0.999645189165194,"alpha_st[3,7]"
-8.25639805698278,0.00179870836877262,0.187095345005974,-8.61773515828332,-8.38323627995967,-8.26157530677942,-8.13214756657531,-7.87866219612147,10819.4318056365,0.999816175759364,"alpha_st[3,8]"
-8.3326143136817,0.00176787228586742,0.189654985341787,-8.69371393605556,-8.46600480422008,-8.3360554210161,-8.20307869905749,-7.96039609709211,11508.7127680332,0.999800660652797,"alpha_st[3,9]"
-8.48952433162038,0.00188619901220075,0.185171765192248,-8.84888637079954,-8.61629681766881,-8.49334278403963,-8.36639554499978,-8.11667611105467,9637.72448810899,0.999829689873373,"alpha_st[3,10]"
-8.9105946233783,0.00194168630423231,0.201347153922835,-9.29661962989008,-9.0486115268725,-8.91549959120042,-8.77485573839358,-8.50487186752556,10753.0794763046,0.999852337441818,"alpha_st[3,11]"
-8.94085195240519,0.00191376703720918,0.196713439448219,-9.3171314473123,-9.07617120423231,-8.94388340732092,-8.80862044215527,-8.54889654700749,10565.4968235525,0.999671172968887,"alpha_st[3,12]"
-8.8998283471241,0.00179706395243845,0.197068055167071,-9.27190947204188,-9.03585958629869,-8.90058042283074,-8.76501238291715,-8.50738656845746,12025.562390664,0.99977117654012,"alpha_st[3,13]"
-8.87293776012546,0.00177475892311521,0.186666331769817,-9.22459635463279,-9.00347051717153,-8.87322576353312,-8.74580270783763,-8.50689181665673,11062.4991276355,0.9997951298997,"alpha_st[3,14]"
-9.33371296520392,0.00219701846240018,0.23155987311982,-9.77039871832847,-9.48963960429069,-9.3396331167541,-9.18579554135709,-8.85794084092986,11108.5965208214,0.999874716201656,"alpha_st[3,15]"
-11.9945601236151,0.00826038440259249,0.576626060276529,-13.1960179229227,-12.363352702246,-11.9658547945254,-11.5976692224211,-10.9371078803987,4872.90580507051,1.00012261993881,"alpha_st[4,1]"
-12.310568983364,0.00828708560974795,0.522932915524243,-13.3984278499028,-12.6440588665931,-12.2950316440692,-11.9479920244443,-11.3331244342296,3981.88127850483,1.00033259190621,"alpha_st[4,2]"
-12.4674515245137,0.00830977994929915,0.50959604488652,-13.5244829126112,-12.7913503198705,-12.4548967182005,-12.1215320777808,-11.5291457941531,3760.73775832111,1.0005871496774,"alpha_st[4,3]"
-12.4727652563643,0.00826582796029654,0.491714119093153,-13.4881938129064,-12.7938915057916,-12.4542231971258,-12.1355699439214,-11.5724387403045,3538.77241950602,1.00107861225382,"alpha_st[4,4]"
-12.6654410456842,0.00833962241463929,0.493773048559097,-13.6689266844848,-12.9889997719975,-12.6517982240964,-12.3286306984527,-11.7289507341284,3505.59698525228,1.000758377901,"alpha_st[4,5]"
-12.7316711371752,0.00839271797579335,0.493040186927884,-13.7341691560374,-13.0597332521543,-12.7184881082646,-12.38713346402,-11.8072068575749,3451.11458900536,1.00023744017458,"alpha_st[4,6]"
-12.6635881120966,0.00804374465740582,0.484066051442468,-13.6688905222861,-12.9757976756316,-12.6450532328137,-12.3254381233971,-11.7712215283193,3621.53510945465,1.00013282540726,"alpha_st[4,7]"
-12.4574538383281,0.00738176128717711,0.459554991316978,-13.4044592076128,-12.7558859059833,-12.442721711951,-12.1412213674452,-11.6096725866202,3875.74308875896,0.999865729271068,"alpha_st[4,8]"
-12.0723068482877,0.00673725721719885,0.424279548153728,-12.9326460087035,-12.3489268966147,-12.0605710648939,-11.7832004606793,-11.2661139375998,3965.86511143274,0.999857890482979,"alpha_st[4,9]"
-11.4393676755023,0.00519654795803145,0.369817483191527,-12.2030056430179,-11.6838534825855,-11.4300419952082,-11.1876637581361,-10.7402985556215,5064.59821966274,0.999857535747665,"alpha_st[4,10]"
-10.4959802872485,0.003867451891266,0.307651700919446,-11.12360765779,-10.6978417400137,-10.4872845523247,-10.2858251717339,-9.9231363462721,6328.0339566612,0.999722941674218,"alpha_st[4,11]"
-8.5762224556825,0.00185400214549617,0.189008168841417,-8.93842024006933,-8.70432977699235,-8.57853819912636,-8.44844257970882,-8.19399164964646,10392.9941871142,0.999708043581105,"alpha_st[4,12]"
-8.50761543393036,0.00185265708857462,0.193490552473484,-8.88565845317445,-8.63863025545335,-8.50840850744628,-8.37800224140873,-8.12339047926814,10907.606056509,0.999609350198553,"alpha_st[4,13]"
-9.0366250363549,0.00227856890980362,0.21759485132213,-9.46108499192939,-9.18519225277463,-9.03661401383737,-8.89175194523609,-8.60908224498721,9119.53921825323,0.999848077966201,"alpha_st[4,14]"
-9.77641933199816,0.00305444458272417,0.296131220459383,-10.3489657079624,-9.97556506911709,-9.77950315107556,-9.57914030558387,-9.19734720053233,9399.48140147889,0.999752934360452,"alpha_st[4,15]"
-8.11207868385699,0.00191289750370874,0.208193611336543,-8.50457153443678,-8.25441223508857,-8.11642699006005,-7.97868325478357,-7.68200254703118,11845.4454275717,1.00034121038936,"alpha_st[5,1]"
-8.2281787333178,0.00186723757629591,0.191793872214483,-8.59277896069957,-8.36100136633947,-8.22982947531705,-8.10285044144021,-7.84844433517537,10550.4333375085,1.000083482782,"alpha_st[5,2]"
-8.1991562572456,0.00182595528876575,0.186391708113767,-8.55425686324972,-8.32767536207898,-8.20224781864916,-8.07721738163564,-7.81992511725154,10420.1242750102,1.00068449201001,"alpha_st[5,3]"
-8.27059139411485,0.00187696244156885,0.187172766155928,-8.62960880381789,-8.39881086162874,-8.2764098258656,-8.14418714397397,-7.8928474876409,9944.29851031399,1.00039292411642,"alpha_st[5,4]"
-8.39839908333763,0.00189966405572172,0.192136990571626,-8.76647721794308,-8.53038643666465,-8.40424450045931,-8.2710643997621,-8.01348493324037,10229.8286067792,0.999892258419936,"alpha_st[5,5]"
-8.48918073546719,0.00192646266103502,0.193215078890819,-8.86270063639763,-8.61961749770527,-8.49050664341584,-8.36114876424127,-8.10147144517222,10059.1397430287,0.999863793853014,"alpha_st[5,6]"
-8.39884124166264,0.00185802593600259,0.192696706978246,-8.76936153973389,-8.5272413909967,-8.40100835296261,-8.27605947154026,-8.0042581209756,10755.8575557211,0.999812117919183,"alpha_st[5,7]"
-8.20717337196097,0.00173528469591859,0.186533897977267,-8.56279913487946,-8.33411446804927,-8.21191961298007,-8.08026949225226,-7.83130782230314,11555.1093108311,0.99968276489728,"alpha_st[5,8]"
-8.01105797150876,0.00173133519249103,0.188396604461532,-8.36329223631198,-8.14211928057109,-8.01452502450177,-7.8842942744668,-7.63739318067023,11840.875868713,0.999750361264029,"alpha_st[5,9]"
-7.96314861292086,0.00171415144289122,0.186654138188795,-8.31418064922335,-8.09211647322511,-7.96742298632751,-7.84146814909948,-7.58334840675933,11857.0559307598,0.999879886636229,"alpha_st[5,10]"
-8.10464615466685,0.00194927364353434,0.197161206751831,-8.48324927009284,-8.2414745251571,-8.1103759657267,-7.96958274078823,-7.71415194576877,10230.5107010926,1.00033528818539,"alpha_st[5,11]"
-7.9632563344194,0.00190080764604892,0.191041369651405,-8.31625854583652,-8.0968732385323,-7.96872748123891,-7.83912565641498,-7.57821497547994,10101.3287523258,1.00020844683301,"alpha_st[5,12]"
-7.87655096293193,0.00192740339304584,0.190601356626886,-8.23703084652169,-8.00786176501996,-7.88156610045245,-7.75097046427861,-7.49446690006712,9779.2767465533,0.999606062284479,"alpha_st[5,13]"
-7.7110588269678,0.00184882753923415,0.191695970876173,-8.07481402881318,-7.84244564166306,-7.71660315583144,-7.58435020738191,-7.33095328863932,10750.6114685913,0.999912339057217,"alpha_st[5,14]"
-7.5726857709073,0.00199304829138577,0.202403125551284,-7.95462397864481,-7.71099544339785,-7.57799914902554,-7.43971834728337,-7.16099051710999,10313.3269509274,0.999835211610743,"alpha_st[5,15]"
-9.23744172640383,0.00208533479470997,0.21930346710826,-9.6465295514833,-9.38711332282495,-9.24420425357281,-9.09733117353342,-8.7862086153571,11059.5999069855,0.999717591465006,"alpha_st[6,1]"
-9.35068410745104,0.00194958129603855,0.198673993067716,-9.73024510451741,-9.48950430984686,-9.35337345679613,-9.2144572067233,-8.95308961409548,10384.8288125786,0.999780141011388,"alpha_st[6,2]"
-9.39778148629365,0.00182721569137537,0.195913589286299,-9.7728029676495,-9.52996439318881,-9.40097129439181,-9.26686699801836,-9.01205097703231,11496.0724031004,0.999811325971039,"alpha_st[6,3]"
-9.34270846005295,0.00182749030418464,0.190213800954441,-9.70767114615233,-9.47182333284885,-9.34801814668899,-9.21456080186831,-8.9621535344826,10833.6271537238,1.00026467195314,"alpha_st[6,4]"
-9.29029516643092,0.00181420364840016,0.187233600477242,-9.65077423305626,-9.42019803069285,-9.29305623585738,-9.16295938367812,-8.91923774209052,10651.1255914424,1.0000683082509,"alpha_st[6,5]"
-9.58004051875208,0.00189103851187215,0.199349369453637,-9.96020895739892,-9.71597110876433,-9.58206710971479,-9.45054632860435,-9.17456796516159,11112.9404094235,0.999649022227031,"alpha_st[6,6]"
-9.63608866491053,0.00186072430442629,0.19253387432811,-10.0051649012794,-9.76803257814102,-9.63953948091343,-9.50910080461912,-9.24982419853716,10706.567013331,0.999821623452697,"alpha_st[6,7]"
-9.87130987637785,0.00210576124369518,0.211736461500082,-10.2713192393776,-10.0144797894213,-9.87571492718591,-9.7340642011686,-9.44937324213831,10110.5095874995,1.0000936499301,"alpha_st[6,8]"
-9.47524658524948,0.001819879661589,0.190617096676278,-9.83512856027978,-9.60194427961992,-9.48263721427114,-9.34956498104288,-9.09586448874107,10970.80151749,1.00000802956214,"alpha_st[6,9]"
-9.49241517938535,0.00186623870250612,0.18710847061068,-9.84758371097054,-9.61779106094929,-9.49835835096338,-9.37041618781264,-9.11399348076127,10052.0008006164,0.999627516544415,"alpha_st[6,10]"
-10.0477427452051,0.0019824542994715,0.204922014247258,-10.4392332846669,-10.1879736006506,-10.0497551356805,-9.91107781566699,-9.63605295739765,10684.9098678349,0.99973926950303,"alpha_st[6,11]"
-10.1348005686694,0.00189471881697968,0.197427697273432,-10.5181072719262,-10.2695400037412,-10.1365779766684,-10.004250662486,-9.73581087414549,10857.4196411388,0.999823124801905,"alpha_st[6,12]"
-10.1076008403124,0.00203465173802104,0.202645339058153,-10.4919839872583,-10.2494486890998,-10.1101222193025,-9.9757072016706,-9.69821440205025,9919.57512694947,0.999842992744173,"alpha_st[6,13]"
-9.83629605095708,0.00194008048077977,0.19831302851054,-10.2216481099338,-9.96861722839419,-9.83903547281,-9.7074372145876,-9.42742925059663,10448.7178329324,0.999956516338689,"alpha_st[6,14]"
-9.37813992059144,0.00184207310819531,0.198203580102737,-9.75286358333346,-9.51160920808682,-9.38191820651806,-9.2481239476741,-8.97543952709728,11577.3527123804,0.999815403632069,"alpha_st[6,15]"
-8.0751143080174,0.00196680865181845,0.21387566058262,-8.47902436773276,-8.22264071809468,-8.08135665584814,-7.9308432701513,-7.64579637905836,11824.92807321,0.999845023556005,"alpha_st[7,1]"
-8.23357001955409,0.0018858867127014,0.196328758048115,-8.61119579120047,-8.36456600431431,-8.23554188251369,-8.1058583511909,-7.83663838629935,10837.687828446,0.999648037541018,"alpha_st[7,2]"
-8.44803419593238,0.00181244818034526,0.184901176060571,-8.79666123866048,-8.57434774151391,-8.44948210934545,-8.32347259071663,-8.07228374449425,10407.5414672454,1.00011256075928,"alpha_st[7,3]"
-9.46984258972492,0.00245448268900252,0.234209581258176,-9.92478867117128,-9.62911109157595,-9.47216897540022,-9.3122182698231,-9.00463248661882,9105.19745491022,1.00037416187665,"alpha_st[7,4]"
-9.351609008115,0.00215809194296788,0.212911612060399,-9.75944355596634,-9.49629814681453,-9.3564634921884,-9.20997317436289,-8.93076502003204,9733.27087226708,0.999800443767488,"alpha_st[7,5]"
-8.59421214073658,0.00183530098104937,0.188347057914959,-8.95610454611164,-8.72061421175367,-8.59524678916388,-8.47123867390077,-8.20935462163755,10531.8117521506,0.999729411582012,"alpha_st[7,6]"
-8.35154937724638,0.0020041661337332,0.20238200509916,-8.7337567558976,-8.48870448708447,-8.35530243468035,-8.21994685661141,-7.94370074814603,10197.0922998858,0.999878552044112,"alpha_st[7,7]"
-7.93303301818887,0.00194307374000786,0.187172976186278,-8.28411537230529,-8.05985017174434,-7.93567721336011,-7.81043248794959,-7.56205192964246,9279.1399964207,0.999848771867778,"alpha_st[7,8]"
-7.59698622070461,0.00188283129901605,0.186363479641822,-7.95674264756735,-7.72316040010174,-7.59994971308016,-7.47461563108907,-7.22761696108733,9797.12847192571,1.00055887422773,"alpha_st[7,9]"
