"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.0677317554172,0.00313891442070722,0.336290114576591,-10.7374435221261,-10.2968413652395,-10.0632702013364,-9.83664767071878,-9.41190043774694,11478.0801182921,0.999798302099879,"alpha_st[1,1]"
-9.39970848055473,0.00241454193456405,0.229425292355628,-9.84617348137792,-9.55452088386116,-9.39896999067401,-9.24743995141542,-8.94475481232696,9028.44762019489,0.99984898856099,"alpha_st[1,2]"
-10.1402565620684,0.00291906796450584,0.274263341435537,-10.6750811315363,-10.3265077195778,-10.1410771088951,-9.95751576080973,-9.59933373252919,8827.69078137477,0.999647305456911,"alpha_st[1,3]"
-11.0436317692153,0.0040725221045554,0.33456619108379,-11.7205516848174,-11.263658124339,-11.0361031858763,-10.8103774981935,-10.4059867345042,6748.96543238264,0.99987721962905,"alpha_st[1,4]"
-11.5136807606607,0.00490834767892755,0.36713657344313,-12.2573517055294,-11.7554137292835,-11.5051125086966,-11.265547049492,-10.8127044456594,5594.8012647885,1.00007360224732,"alpha_st[1,5]"
-11.5723709329993,0.0047595321343618,0.365247015609413,-12.3146837416429,-11.8100971357637,-11.5634947287538,-11.3280018577788,-10.8719098079926,5889.04435608025,0.999877332598346,"alpha_st[1,6]"
-11.2312329184493,0.00405441266814541,0.337530027458275,-11.9168964962212,-11.4522775834947,-11.2277989392014,-11.0068996003276,-10.5791735142949,6930.56959771439,1.00027414667266,"alpha_st[1,7]"
-10.9321104805003,0.00370532845738871,0.308555483768494,-11.5413770877989,-11.138196710848,-10.9290576152133,-10.7232510847961,-10.3428862100727,6934.46746315124,1.00056346543736,"alpha_st[1,8]"
-10.7364996399773,0.00334825766185795,0.29746097200139,-11.3437541708227,-10.9367817532112,-10.7268059824985,-10.5276425312925,-10.170816130525,7892.63906730106,0.999728237677313,"alpha_st[1,9]"
-10.7772330683384,0.00334958951988954,0.299603739082627,-11.3815021925936,-10.9756983156566,-10.773520940747,-10.5702213624563,-10.2109064498191,8000.39224209802,0.999690085386511,"alpha_st[1,10]"
-10.5124630908392,0.00295501435417329,0.275926614254257,-11.0672225618809,-10.6922141285403,-10.5054500157364,-10.3281049565574,-9.98030101342424,8719.02643309199,0.99971164094479,"alpha_st[1,11]"
-11.2984841340898,0.00381297677671759,0.329447984139153,-11.9576603875643,-11.5212735363316,-11.2944908599764,-11.0755415609162,-10.6549872880316,7465.26774724224,1.00001533537419,"alpha_st[1,12]"
-11.6303185392613,0.0044395606038189,0.358811394325624,-12.3557770307178,-11.8649572122673,-11.6224882804987,-11.3831410344513,-10.9503888772523,6532.09472713026,0.999666699190063,"alpha_st[1,13]"
-11.6540287996723,0.00473782628215301,0.381102451632569,-12.4259968064592,-11.9036098785041,-11.6436849841482,-11.3933296799921,-10.9441092257437,6470.31195074277,0.99961905270706,"alpha_st[1,14]"
-11.6893610960513,0.00489430504224361,0.432028045183751,-12.576000896583,-11.9682607447385,-11.6783948561932,-11.395842405171,-10.8760202868816,7791.87205583642,0.999894241556199,"alpha_st[1,15]"
-8.23209676698863,0.00190901264839411,0.224247828099502,-8.65422790998312,-8.38764754208094,-8.24065287498309,-8.08463100922897,-7.7776156868032,13798.7224484564,0.999689957673381,"alpha_st[2,1]"
-8.19385074332744,0.00194417362696584,0.198694340559817,-8.57384466210684,-8.32975945595496,-8.19810188332129,-8.06411644073899,-7.79093261361358,10444.8185403386,0.999703156227336,"alpha_st[2,2]"
-8.00028358008014,0.00181831579897004,0.192090707975182,-8.35895214770751,-8.13360911386545,-8.00344045015921,-7.87488425213606,-7.60882000900396,11160.2542811145,0.999838252790012,"alpha_st[2,3]"
-7.80660852184435,0.00180771611727422,0.191019101311188,-8.16608117716937,-7.93492099824333,-7.81023716967611,-7.68255750289896,-7.41374934695939,11165.8845914125,1.0000193370911,"alpha_st[2,4]"
-7.69360159093865,0.00180970452292095,0.192032739349616,-8.05777838379942,-7.82632163983267,-7.69804907409651,-7.56665159372583,-7.30502292307362,11259.9175578228,0.999725425376173,"alpha_st[2,5]"
-7.75639575329995,0.00186007104398116,0.192345651539128,-8.12517732522243,-7.88702733720439,-7.76196692487068,-7.62613185604086,-7.36782228201693,10693.1505340549,1.00018730486351,"alpha_st[2,6]"
-7.78728277184335,0.00173945447095582,0.187394986733656,-8.14966455918952,-7.91951713339465,-7.78929179108452,-7.66068849933731,-7.41197736993154,11606.1934447175,0.999857737185251,"alpha_st[2,7]"
-7.81714774643416,0.00169023236239756,0.191994325238192,-8.18298278789447,-7.9493652530177,-7.8190635435588,-7.68966274206702,-7.42997663766003,12902.7998189219,1.00001554620217,"alpha_st[2,8]"
-7.84316451245812,0.00168287218249689,0.187868337664894,-8.20762172058479,-7.96942935000975,-7.84605416579447,-7.71874179686323,-7.46041295304881,12462.4928386183,0.999779663088685,"alpha_st[2,9]"
-7.82200942577732,0.00175480250502439,0.181980700388662,-8.17179396336573,-7.94730278934323,-7.82617541417188,-7.7005201469068,-7.45598273868223,10754.5977908824,0.999900203038214,"alpha_st[2,10]"
-8.08113832824161,0.00195519922719555,0.193843815058409,-8.45393815223343,-8.21166495765432,-8.08701455766312,-7.95097816146883,-7.69383597640585,9829.28354663626,0.999884750483124,"alpha_st[2,11]"
-8.26455365437787,0.0017978523902039,0.199150311945359,-8.64189440516898,-8.40113241560814,-8.26867653120167,-8.13511677051465,-7.86086627107731,12270.2643266068,0.999580034110441,"alpha_st[2,12]"
-8.16824991368567,0.0017837764153703,0.190401955305023,-8.52991158016791,-8.30057947378033,-8.17084180887666,-8.03972419707329,-7.78414269399592,11393.6263546429,0.9997045734318,"alpha_st[2,13]"
